Circuit,Pays,Latitude,Longitude
Bahrain,Bahreïn,26.0325,50.5106
Jeddah,Arabie Saoudite,21.6319,39.1044
Melbourne,Australie,-37.8497,144.968
Suzuka,Japon,34.8431,136.5410
Shanghai,Chine,31.3389,121.22
Miami,USA,25.9581,-80.2389
Imola,Italie,44.3439,11.7167
Monaco,Monaco,43.7347,7.4206
Montreal,Canada,45.5,-73.5228
Barcelona,Espagne,41.57,2.2611
Spielberg,Autriche,47.2197,14.7647
Silverstone,Royaume-Uni,52.0786,-1.0169
Hungaroring,Hongrie,47.5789,19.2486
Spa-Francorchamps,Belgique,50.4372,5.9714
Zandvoort,Pays-Bas,52.3888,4.5409
Monza,Italie,45.6156,9.2811
Baku,Azerbaïdjan,40.3725,49.8533
Singapore,Singapour,1.2914,103.864
Austin,USA,30.1328,-97.6411
Mexico City,Mexique,19.4042,-99.0907
Sao Paulo,Brésil,-23.7036,-46.6997
Las Vegas,USA,36.1147,-115.1728
Qatar,Qatar,25.49,51.4542
Abu Dhabi,UAE,24.4672,54.6031
