Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:32.190000,MEDIUM,1.0,1.0,1.0,92.19,2023,Abu Dhabi
VER,Red Bull Racing,2.0,0 days 00:01:30.710000,MEDIUM,2.0,1.0,1.0,90.71,2023,Abu Dhabi
VER,Red Bull Racing,3.0,0 days 00:01:30.408000,MEDIUM,3.0,1.0,1.0,90.408,2023,Abu Dhabi
VER,Red Bull Racing,4.0,0 days 00:01:30.716000,MEDIUM,4.0,1.0,1.0,90.716,2023,Abu Dhabi
VER,Red Bull Racing,5.0,0 days 00:01:30.552000,MEDIUM,5.0,1.0,1.0,90.552,2023,Abu Dhabi
VER,Red Bull Racing,6.0,0 days 00:01:30.440000,MEDIUM,6.0,1.0,1.0,90.44,2023,Abu Dhabi
VER,Red Bull Racing,7.0,0 days 00:01:30.529000,MEDIUM,7.0,1.0,1.0,90.529,2023,Abu Dhabi
VER,Red Bull Racing,8.0,0 days 00:01:30.516000,MEDIUM,8.0,1.0,1.0,90.516,2023,Abu Dhabi
VER,Red Bull Racing,9.0,0 days 00:01:30.632000,MEDIUM,9.0,1.0,1.0,90.632,2023,Abu Dhabi
VER,Red Bull Racing,10.0,0 days 00:01:30.506000,MEDIUM,10.0,1.0,1.0,90.506,2023,Abu Dhabi
VER,Red Bull Racing,11.0,0 days 00:01:30.561000,MEDIUM,11.0,1.0,1.0,90.561,2023,Abu Dhabi
VER,Red Bull Racing,12.0,0 days 00:01:30.590000,MEDIUM,12.0,1.0,1.0,90.59,2023,Abu Dhabi
VER,Red Bull Racing,13.0,0 days 00:01:30.561000,MEDIUM,13.0,1.0,1.0,90.561,2023,Abu Dhabi
VER,Red Bull Racing,14.0,0 days 00:01:30.647000,MEDIUM,14.0,1.0,1.0,90.647,2023,Abu Dhabi
VER,Red Bull Racing,15.0,0 days 00:01:30.267000,MEDIUM,15.0,1.0,1.0,90.267,2023,Abu Dhabi
VER,Red Bull Racing,16.0,0 days 00:01:32.558000,MEDIUM,16.0,1.0,1.0,92.558,2023,Abu Dhabi
VER,Red Bull Racing,17.0,0 days 00:01:50.188000,HARD,1.0,2.0,7.0,110.188,2023,Abu Dhabi
VER,Red Bull Racing,18.0,0 days 00:01:29.896000,HARD,2.0,2.0,4.0,89.896,2023,Abu Dhabi
VER,Red Bull Racing,19.0,0 days 00:01:29.386000,HARD,3.0,2.0,3.0,89.386,2023,Abu Dhabi
VER,Red Bull Racing,20.0,0 days 00:01:29.628000,HARD,4.0,2.0,3.0,89.628,2023,Abu Dhabi
VER,Red Bull Racing,21.0,0 days 00:01:29.127000,HARD,5.0,2.0,2.0,89.127,2023,Abu Dhabi
VER,Red Bull Racing,22.0,0 days 00:01:29.689000,HARD,6.0,2.0,2.0,89.689,2023,Abu Dhabi
VER,Red Bull Racing,23.0,0 days 00:01:29.634000,HARD,7.0,2.0,1.0,89.634,2023,Abu Dhabi
VER,Red Bull Racing,24.0,0 days 00:01:29.293000,HARD,8.0,2.0,1.0,89.293,2023,Abu Dhabi
VER,Red Bull Racing,25.0,0 days 00:01:29.401000,HARD,9.0,2.0,1.0,89.401,2023,Abu Dhabi
VER,Red Bull Racing,26.0,0 days 00:01:29.289000,HARD,10.0,2.0,1.0,89.289,2023,Abu Dhabi
VER,Red Bull Racing,27.0,0 days 00:01:29.156000,HARD,11.0,2.0,1.0,89.156,2023,Abu Dhabi
VER,Red Bull Racing,28.0,0 days 00:01:29.217000,HARD,12.0,2.0,1.0,89.217,2023,Abu Dhabi
VER,Red Bull Racing,29.0,0 days 00:01:29.183000,HARD,13.0,2.0,1.0,89.183,2023,Abu Dhabi
VER,Red Bull Racing,30.0,0 days 00:01:29.266000,HARD,14.0,2.0,1.0,89.266,2023,Abu Dhabi
VER,Red Bull Racing,31.0,0 days 00:01:29.149000,HARD,15.0,2.0,1.0,89.149,2023,Abu Dhabi
VER,Red Bull Racing,32.0,0 days 00:01:29.100000,HARD,16.0,2.0,1.0,89.1,2023,Abu Dhabi
VER,Red Bull Racing,33.0,0 days 00:01:29.137000,HARD,17.0,2.0,1.0,89.137,2023,Abu Dhabi
VER,Red Bull Racing,34.0,0 days 00:01:29.077000,HARD,18.0,2.0,1.0,89.077,2023,Abu Dhabi
VER,Red Bull Racing,35.0,0 days 00:01:29.148000,HARD,19.0,2.0,1.0,89.148,2023,Abu Dhabi
VER,Red Bull Racing,36.0,0 days 00:01:28.902000,HARD,20.0,2.0,1.0,88.902,2023,Abu Dhabi
VER,Red Bull Racing,37.0,0 days 00:01:28.910000,HARD,21.0,2.0,1.0,88.91,2023,Abu Dhabi
VER,Red Bull Racing,38.0,0 days 00:01:29.073000,HARD,22.0,2.0,1.0,89.073,2023,Abu Dhabi
VER,Red Bull Racing,39.0,0 days 00:01:28.849000,HARD,23.0,2.0,1.0,88.849,2023,Abu Dhabi
VER,Red Bull Racing,40.0,0 days 00:01:29.053000,HARD,24.0,2.0,1.0,89.053,2023,Abu Dhabi
VER,Red Bull Racing,41.0,0 days 00:01:29.003000,HARD,25.0,2.0,1.0,89.003,2023,Abu Dhabi
VER,Red Bull Racing,42.0,0 days 00:01:29.082000,HARD,26.0,2.0,1.0,89.082,2023,Abu Dhabi
VER,Red Bull Racing,43.0,0 days 00:01:31.391000,HARD,27.0,2.0,1.0,91.391,2023,Abu Dhabi
VER,Red Bull Racing,44.0,0 days 00:01:48.170000,HARD,1.0,3.0,1.0,108.17,2023,Abu Dhabi
VER,Red Bull Racing,45.0,0 days 00:01:26.993000,HARD,2.0,3.0,1.0,86.993,2023,Abu Dhabi
VER,Red Bull Racing,46.0,0 days 00:01:27.902000,HARD,3.0,3.0,1.0,87.902,2023,Abu Dhabi
VER,Red Bull Racing,47.0,0 days 00:01:27.962000,HARD,4.0,3.0,1.0,87.962,2023,Abu Dhabi
VER,Red Bull Racing,48.0,0 days 00:01:27.968000,HARD,5.0,3.0,1.0,87.968,2023,Abu Dhabi
VER,Red Bull Racing,49.0,0 days 00:01:27.901000,HARD,6.0,3.0,1.0,87.901,2023,Abu Dhabi
VER,Red Bull Racing,50.0,0 days 00:01:28.040000,HARD,7.0,3.0,1.0,88.04,2023,Abu Dhabi
VER,Red Bull Racing,51.0,0 days 00:01:27.849000,HARD,8.0,3.0,1.0,87.849,2023,Abu Dhabi
VER,Red Bull Racing,52.0,0 days 00:01:27.851000,HARD,9.0,3.0,1.0,87.851,2023,Abu Dhabi
VER,Red Bull Racing,53.0,0 days 00:01:27.683000,HARD,10.0,3.0,1.0,87.683,2023,Abu Dhabi
VER,Red Bull Racing,54.0,0 days 00:01:27.513000,HARD,11.0,3.0,1.0,87.513,2023,Abu Dhabi
VER,Red Bull Racing,55.0,0 days 00:01:27.930000,HARD,12.0,3.0,1.0,87.93,2023,Abu Dhabi
VER,Red Bull Racing,56.0,0 days 00:01:27.727000,HARD,13.0,3.0,1.0,87.727,2023,Abu Dhabi
VER,Red Bull Racing,57.0,0 days 00:01:27.980000,HARD,14.0,3.0,1.0,87.98,2023,Abu Dhabi
VER,Red Bull Racing,58.0,0 days 00:01:28.545000,HARD,15.0,3.0,1.0,88.545,2023,Abu Dhabi
LEC,Ferrari,1.0,0 days 00:01:33.119000,MEDIUM,1.0,1.0,2.0,93.119,2023,Abu Dhabi
LEC,Ferrari,2.0,0 days 00:01:31.117000,MEDIUM,2.0,1.0,2.0,91.117,2023,Abu Dhabi
LEC,Ferrari,3.0,0 days 00:01:30.500000,MEDIUM,3.0,1.0,2.0,90.5,2023,Abu Dhabi
LEC,Ferrari,4.0,0 days 00:01:30.884000,MEDIUM,4.0,1.0,2.0,90.884,2023,Abu Dhabi
LEC,Ferrari,5.0,0 days 00:01:30.459000,MEDIUM,5.0,1.0,2.0,90.459,2023,Abu Dhabi
LEC,Ferrari,6.0,0 days 00:01:30.544000,MEDIUM,6.0,1.0,2.0,90.544,2023,Abu Dhabi
LEC,Ferrari,7.0,0 days 00:01:30.373000,MEDIUM,7.0,1.0,2.0,90.373,2023,Abu Dhabi
LEC,Ferrari,8.0,0 days 00:01:30.631000,MEDIUM,8.0,1.0,2.0,90.631,2023,Abu Dhabi
LEC,Ferrari,9.0,0 days 00:01:30.431000,MEDIUM,9.0,1.0,2.0,90.431,2023,Abu Dhabi
LEC,Ferrari,10.0,0 days 00:01:30.609000,MEDIUM,10.0,1.0,2.0,90.609,2023,Abu Dhabi
LEC,Ferrari,11.0,0 days 00:01:30.613000,MEDIUM,11.0,1.0,2.0,90.613,2023,Abu Dhabi
LEC,Ferrari,12.0,0 days 00:01:30.584000,MEDIUM,12.0,1.0,2.0,90.584,2023,Abu Dhabi
