Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:17.639000,MEDIUM,1.0,1.0,1.0,77.639,2023,Austria
VER,Red Bull Racing,2.0,0 days 00:01:55.479000,MEDIUM,2.0,1.0,1.0,115.479,2023,Austria
VER,Red Bull Racing,3.0,0 days 00:02:04.721000,MEDIUM,3.0,2.0,1.0,124.721,2023,Austria
VER,Red Bull Racing,4.0,0 days 00:01:09.691000,MEDIUM,4.0,2.0,1.0,69.691,2023,Austria
VER,Red Bull Racing,5.0,0 days 00:01:10.026000,MEDIUM,5.0,2.0,1.0,70.026,2023,Austria
VER,Red Bull Racing,6.0,0 days 00:01:10.156000,MEDIUM,6.0,2.0,1.0,70.156,2023,Austria
VER,Red Bull Racing,7.0,0 days 00:01:10.168000,MEDIUM,7.0,2.0,1.0,70.168,2023,Austria
VER,Red Bull Racing,8.0,0 days 00:01:09.967000,MEDIUM,8.0,2.0,1.0,69.967,2023,Austria
VER,Red Bull Racing,9.0,0 days 00:01:09.989000,MEDIUM,9.0,2.0,1.0,69.989,2023,Austria
VER,Red Bull Racing,10.0,0 days 00:01:09.856000,MEDIUM,10.0,2.0,1.0,69.856,2023,Austria
VER,Red Bull Racing,11.0,0 days 00:01:10.051000,MEDIUM,11.0,2.0,1.0,70.051,2023,Austria
VER,Red Bull Racing,12.0,0 days 00:01:09.833000,MEDIUM,12.0,2.0,1.0,69.833,2023,Austria
VER,Red Bull Racing,13.0,0 days 00:01:10.196000,MEDIUM,13.0,2.0,1.0,70.196,2023,Austria
VER,Red Bull Racing,14.0,0 days 00:01:13.573000,MEDIUM,14.0,2.0,1.0,73.573,2023,Austria
VER,Red Bull Racing,15.0,0 days 00:01:33.592000,MEDIUM,15.0,2.0,1.0,93.592,2023,Austria
VER,Red Bull Racing,16.0,0 days 00:01:19.611000,MEDIUM,16.0,2.0,1.0,79.611,2023,Austria
VER,Red Bull Racing,17.0,0 days 00:01:09.924000,MEDIUM,17.0,2.0,1.0,69.924,2023,Austria
VER,Red Bull Racing,18.0,0 days 00:01:10.002000,MEDIUM,18.0,2.0,1.0,70.002,2023,Austria
VER,Red Bull Racing,19.0,0 days 00:01:09.942000,MEDIUM,19.0,2.0,1.0,69.942,2023,Austria
VER,Red Bull Racing,20.0,0 days 00:01:10.160000,MEDIUM,20.0,2.0,1.0,70.16,2023,Austria
VER,Red Bull Racing,21.0,0 days 00:01:10.142000,MEDIUM,21.0,2.0,1.0,70.142,2023,Austria
VER,Red Bull Racing,22.0,0 days 00:01:10.337000,MEDIUM,22.0,2.0,1.0,70.337,2023,Austria
