Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:27.912000,MEDIUM,4.0,1.0,1.0,87.912,2023,Hungary
VER,Red Bull Racing,2.0,0 days 00:01:25.157000,MEDIUM,5.0,1.0,1.0,85.157,2023,Hungary
VER,Red Bull Racing,3.0,0 days 00:01:25.070000,MEDIUM,6.0,1.0,1.0,85.07,2023,Hungary
VER,Red Bull Racing,4.0,0 days 00:01:24.542000,MEDIUM,7.0,1.0,1.0,84.542,2023,Hungary
VER,Red Bull Racing,5.0,0 days 00:01:24.843000,MEDIUM,8.0,1.0,1.0,84.843,2023,Hungary
VER,Red Bull Racing,6.0,0 days 00:01:24.596000,MEDIUM,9.0,1.0,1.0,84.596,2023,Hungary
VER,Red Bull Racing,7.0,0 days 00:01:24.487000,MEDIUM,10.0,1.0,1.0,84.487,2023,Hungary
VER,Red Bull Racing,8.0,0 days 00:01:24.509000,MEDIUM,11.0,1.0,1.0,84.509,2023,Hungary
VER,Red Bull Racing,9.0,0 days 00:01:24.437000,MEDIUM,12.0,1.0,1.0,84.437,2023,Hungary
VER,Red Bull Racing,10.0,0 days 00:01:24.405000,MEDIUM,13.0,1.0,1.0,84.405,2023,Hungary
VER,Red Bull Racing,11.0,0 days 00:01:24.462000,MEDIUM,14.0,1.0,1.0,84.462,2023,Hungary
VER,Red Bull Racing,12.0,0 days 00:01:24.306000,MEDIUM,15.0,1.0,1.0,84.306,2023,Hungary
VER,Red Bull Racing,13.0,0 days 00:01:24.355000,MEDIUM,16.0,1.0,1.0,84.355,2023,Hungary
VER,Red Bull Racing,14.0,0 days 00:01:24.201000,MEDIUM,17.0,1.0,1.0,84.201,2023,Hungary
VER,Red Bull Racing,15.0,0 days 00:01:24.121000,MEDIUM,18.0,1.0,1.0,84.121,2023,Hungary
VER,Red Bull Racing,16.0,0 days 00:01:24.373000,MEDIUM,19.0,1.0,1.0,84.373,2023,Hungary
VER,Red Bull Racing,17.0,0 days 00:01:24.214000,MEDIUM,20.0,1.0,1.0,84.214,2023,Hungary
VER,Red Bull Racing,18.0,0 days 00:01:24.195000,MEDIUM,21.0,1.0,1.0,84.195,2023,Hungary
VER,Red Bull Racing,19.0,0 days 00:01:24.396000,MEDIUM,22.0,1.0,1.0,84.396,2023,Hungary
VER,Red Bull Racing,20.0,0 days 00:01:24.065000,MEDIUM,23.0,1.0,1.0,84.065,2023,Hungary
VER,Red Bull Racing,21.0,0 days 00:01:24.012000,MEDIUM,24.0,1.0,1.0,84.012,2023,Hungary
