Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:27.905000,MEDIUM,1.0,1.0,2.0,87.905,2023,Italy
VER,Red Bull Racing,2.0,0 days 00:01:26.163000,MEDIUM,2.0,1.0,2.0,86.163,2023,Italy
VER,Red Bull Racing,3.0,0 days 00:01:25.702000,MEDIUM,3.0,1.0,2.0,85.702,2023,Italy
VER,Red Bull Racing,4.0,0 days 00:01:26.050000,MEDIUM,4.0,1.0,2.0,86.05,2023,Italy
VER,Red Bull Racing,5.0,0 days 00:01:26.176000,MEDIUM,5.0,1.0,2.0,86.176,2023,Italy
VER,Red Bull Racing,6.0,0 days 00:01:26.837000,MEDIUM,6.0,1.0,2.0,86.837,2023,Italy
VER,Red Bull Racing,7.0,0 days 00:01:26.368000,MEDIUM,7.0,1.0,2.0,86.368,2023,Italy
VER,Red Bull Racing,8.0,0 days 00:01:25.990000,MEDIUM,8.0,1.0,2.0,85.99,2023,Italy
VER,Red Bull Racing,9.0,0 days 00:01:26.605000,MEDIUM,9.0,1.0,2.0,86.605,2023,Italy
VER,Red Bull Racing,10.0,0 days 00:01:26.603000,MEDIUM,10.0,1.0,2.0,86.603,2023,Italy
VER,Red Bull Racing,11.0,0 days 00:01:26.643000,MEDIUM,11.0,1.0,2.0,86.643,2023,Italy
VER,Red Bull Racing,12.0,0 days 00:01:26.442000,MEDIUM,12.0,1.0,2.0,86.442,2023,Italy
VER,Red Bull Racing,13.0,0 days 00:01:26.666000,MEDIUM,13.0,1.0,2.0,86.666,2023,Italy
VER,Red Bull Racing,14.0,0 days 00:01:27.028000,MEDIUM,14.0,1.0,2.0,87.028,2023,Italy
VER,Red Bull Racing,15.0,0 days 00:01:26.782000,MEDIUM,15.0,1.0,1.0,86.782,2023,Italy
VER,Red Bull Racing,16.0,0 days 00:01:26.718000,MEDIUM,16.0,1.0,1.0,86.718,2023,Italy
VER,Red Bull Racing,17.0,0 days 00:01:26.733000,MEDIUM,17.0,1.0,1.0,86.733,2023,Italy
VER,Red Bull Racing,18.0,0 days 00:01:26.273000,MEDIUM,18.0,1.0,1.0,86.273,2023,Italy
VER,Red Bull Racing,19.0,0 days 00:01:26.438000,MEDIUM,19.0,1.0,1.0,86.438,2023,Italy
VER,Red Bull Racing,20.0,0 days 00:01:30.849000,MEDIUM,20.0,1.0,1.0,90.849,2023,Italy
VER,Red Bull Racing,21.0,0 days 00:01:45.660000,HARD,1.0,2.0,5.0,105.66,2023,Italy
VER,Red Bull Racing,22.0,0 days 00:01:25.885000,HARD,2.0,2.0,3.0,85.885,2023,Italy
VER,Red Bull Racing,23.0,0 days 00:01:26.159000,HARD,3.0,2.0,2.0,86.159,2023,Italy
VER,Red Bull Racing,24.0,0 days 00:01:26.327000,HARD,4.0,2.0,2.0,86.327,2023,Italy
VER,Red Bull Racing,25.0,0 days 00:01:25.914000,HARD,5.0,2.0,1.0,85.914,2023,Italy
VER,Red Bull Racing,26.0,0 days 00:01:25.786000,HARD,6.0,2.0,1.0,85.786,2023,Italy
VER,Red Bull Racing,27.0,0 days 00:01:25.501000,HARD,7.0,2.0,1.0,85.501,2023,Italy
VER,Red Bull Racing,28.0,0 days 00:01:25.434000,HARD,8.0,2.0,1.0,85.434,2023,Italy
VER,Red Bull Racing,29.0,0 days 00:01:25.471000,HARD,9.0,2.0,1.0,85.471,2023,Italy
VER,Red Bull Racing,30.0,0 days 00:01:25.398000,HARD,10.0,2.0,1.0,85.398,2023,Italy
VER,Red Bull Racing,31.0,0 days 00:01:25.502000,HARD,11.0,2.0,1.0,85.502,2023,Italy
VER,Red Bull Racing,32.0,0 days 00:01:25.410000,HARD,12.0,2.0,1.0,85.41,2023,Italy
VER,Red Bull Racing,33.0,0 days 00:01:25.240000,HARD,13.0,2.0,1.0,85.24,2023,Italy
VER,Red Bull Racing,34.0,0 days 00:01:25.683000,HARD,14.0,2.0,1.0,85.683,2023,Italy
VER,Red Bull Racing,35.0,0 days 00:01:25.815000,HARD,15.0,2.0,1.0,85.815,2023,Italy
VER,Red Bull Racing,36.0,0 days 00:01:25.598000,HARD,16.0,2.0,1.0,85.598,2023,Italy
VER,Red Bull Racing,37.0,0 days 00:01:25.683000,HARD,17.0,2.0,1.0,85.683,2023,Italy
VER,Red Bull Racing,38.0,0 days 00:01:25.585000,HARD,18.0,2.0,1.0,85.585,2023,Italy
VER,Red Bull Racing,39.0,0 days 00:01:25.486000,HARD,19.0,2.0,1.0,85.486,2023,Italy
VER,Red Bull Racing,40.0,0 days 00:01:25.901000,HARD,20.0,2.0,1.0,85.901,2023,Italy
VER,Red Bull Racing,41.0,0 days 00:01:25.779000,HARD,21.0,2.0,1.0,85.779,2023,Italy
VER,Red Bull Racing,42.0,0 days 00:01:25.912000,HARD,22.0,2.0,1.0,85.912,2023,Italy
VER,Red Bull Racing,43.0,0 days 00:01:25.994000,HARD,23.0,2.0,1.0,85.994,2023,Italy
VER,Red Bull Racing,44.0,0 days 00:01:25.751000,HARD,24.0,2.0,1.0,85.751,2023,Italy
VER,Red Bull Racing,45.0,0 days 00:01:25.916000,HARD,25.0,2.0,1.0,85.916,2023,Italy
VER,Red Bull Racing,46.0,0 days 00:01:26.185000,HARD,26.0,2.0,1.0,86.185,2023,Italy
VER,Red Bull Racing,47.0,0 days 00:01:26.137000,HARD,27.0,2.0,1.0,86.137,2023,Italy
VER,Red Bull Racing,48.0,0 days 00:01:27.235000,HARD,28.0,2.0,1.0,87.235,2023,Italy
