Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:02:00.179000,MEDIUM,1.0,1.0,1.0,120.179,2023,Japan
VER,Red Bull Racing,5.0,0 days 00:01:36.748000,MEDIUM,5.0,1.0,1.0,96.748,2023,Japan
VER,Red Bull Racing,6.0,0 days 00:01:37.837000,MEDIUM,6.0,1.0,1.0,97.837,2023,Japan
VER,Red Bull Racing,7.0,0 days 00:01:38.033000,MEDIUM,7.0,1.0,1.0,98.033,2023,Japan
VER,Red Bull Racing,8.0,0 days 00:01:38.148000,MEDIUM,8.0,1.0,1.0,98.148,2023,Japan
VER,Red Bull Racing,9.0,0 days 00:01:38.241000,MEDIUM,9.0,1.0,1.0,98.241,2023,Japan
VER,Red Bull Racing,10.0,0 days 00:01:38.301000,MEDIUM,10.0,1.0,1.0,98.301,2023,Japan
VER,Red Bull Racing,11.0,0 days 00:01:38.519000,MEDIUM,11.0,1.0,1.0,98.519,2023,Japan
VER,Red Bull Racing,12.0,0 days 00:01:38.651000,MEDIUM,12.0,1.0,1.0,98.651,2023,Japan
VER,Red Bull Racing,13.0,0 days 00:01:38.689000,MEDIUM,13.0,1.0,1.0,98.689,2023,Japan
VER,Red Bull Racing,14.0,0 days 00:01:59.754000,MEDIUM,14.0,1.0,1.0,119.754,2023,Japan
VER,Red Bull Racing,15.0,0 days 00:01:38.373000,MEDIUM,15.0,1.0,1.0,98.373,2023,Japan
VER,Red Bull Racing,16.0,0 days 00:01:41.172000,MEDIUM,16.0,1.0,1.0,101.172,2023,Japan
VER,Red Bull Racing,17.0,0 days 00:01:58.025000,MEDIUM,1.0,2.0,5.0,118.025,2023,Japan
VER,Red Bull Racing,18.0,0 days 00:01:37.399000,MEDIUM,2.0,2.0,3.0,97.399,2023,Japan
VER,Red Bull Racing,19.0,0 days 00:01:37.769000,MEDIUM,3.0,2.0,1.0,97.769,2023,Japan
VER,Red Bull Racing,20.0,0 days 00:01:37.344000,MEDIUM,4.0,2.0,1.0,97.344,2023,Japan
VER,Red Bull Racing,21.0,0 days 00:01:37.565000,MEDIUM,5.0,2.0,1.0,97.565,2023,Japan
VER,Red Bull Racing,22.0,0 days 00:01:37.592000,MEDIUM,6.0,2.0,1.0,97.592,2023,Japan
VER,Red Bull Racing,23.0,0 days 00:01:37.722000,MEDIUM,7.0,2.0,1.0,97.722,2023,Japan
VER,Red Bull Racing,24.0,0 days 00:01:37.714000,MEDIUM,8.0,2.0,1.0,97.714,2023,Japan
VER,Red Bull Racing,25.0,0 days 00:01:37.946000,MEDIUM,9.0,2.0,1.0,97.946,2023,Japan
VER,Red Bull Racing,26.0,0 days 00:01:37.903000,MEDIUM,10.0,2.0,1.0,97.903,2023,Japan
VER,Red Bull Racing,27.0,0 days 00:01:37.865000,MEDIUM,11.0,2.0,1.0,97.865,2023,Japan
VER,Red Bull Racing,28.0,0 days 00:01:37.558000,MEDIUM,12.0,2.0,1.0,97.558,2023,Japan
VER,Red Bull Racing,29.0,0 days 00:01:37.424000,MEDIUM,13.0,2.0,1.0,97.424,2023,Japan
VER,Red Bull Racing,30.0,0 days 00:01:37.599000,MEDIUM,14.0,2.0,1.0,97.599,2023,Japan
VER,Red Bull Racing,31.0,0 days 00:01:37.599000,MEDIUM,15.0,2.0,1.0,97.599,2023,Japan
VER,Red Bull Racing,32.0,0 days 00:01:37.920000,MEDIUM,16.0,2.0,1.0,97.92,2023,Japan
VER,Red Bull Racing,33.0,0 days 00:01:37.655000,MEDIUM,17.0,2.0,1.0,97.655,2023,Japan
VER,Red Bull Racing,34.0,0 days 00:01:37.733000,MEDIUM,18.0,2.0,1.0,97.733,2023,Japan
VER,Red Bull Racing,35.0,0 days 00:01:37.788000,MEDIUM,19.0,2.0,1.0,97.788,2023,Japan
VER,Red Bull Racing,36.0,0 days 00:01:37.820000,MEDIUM,20.0,2.0,1.0,97.82,2023,Japan
VER,Red Bull Racing,37.0,0 days 00:01:40.264000,MEDIUM,21.0,2.0,1.0,100.264,2023,Japan
VER,Red Bull Racing,38.0,0 days 00:01:56.078000,HARD,1.0,3.0,1.0,116.078,2023,Japan
VER,Red Bull Racing,39.0,0 days 00:01:34.183000,HARD,2.0,3.0,1.0,94.183,2023,Japan
VER,Red Bull Racing,40.0,0 days 00:01:35.914000,HARD,3.0,3.0,1.0,95.914,2023,Japan
VER,Red Bull Racing,41.0,0 days 00:01:35.433000,HARD,4.0,3.0,1.0,95.433,2023,Japan
VER,Red Bull Racing,42.0,0 days 00:01:35.248000,HARD,5.0,3.0,1.0,95.248,2023,Japan
VER,Red Bull Racing,43.0,0 days 00:01:35.969000,HARD,6.0,3.0,1.0,95.969,2023,Japan
VER,Red Bull Racing,44.0,0 days 00:01:35.462000,HARD,7.0,3.0,1.0,95.462,2023,Japan
VER,Red Bull Racing,45.0,0 days 00:01:35.915000,HARD,8.0,3.0,1.0,95.915,2023,Japan
VER,Red Bull Racing,46.0,0 days 00:01:35.983000,HARD,9.0,3.0,1.0,95.983,2023,Japan
VER,Red Bull Racing,47.0,0 days 00:01:36.220000,HARD,10.0,3.0,1.0,96.22,2023,Japan
VER,Red Bull Racing,48.0,0 days 00:01:36.198000,HARD,11.0,3.0,1.0,96.198,2023,Japan
VER,Red Bull Racing,49.0,0 days 00:01:36.689000,HARD,12.0,3.0,1.0,96.689,2023,Japan
VER,Red Bull Racing,50.0,0 days 00:01:36.877000,HARD,13.0,3.0,1.0,96.877,2023,Japan
VER,Red Bull Racing,51.0,0 days 00:01:36.640000,HARD,14.0,3.0,1.0,96.64,2023,Japan
VER,Red Bull Racing,52.0,0 days 00:01:37.050000,HARD,15.0,3.0,1.0,97.05,2023,Japan
VER,Red Bull Racing,53.0,0 days 00:01:36.300000,HARD,16.0,3.0,1.0,96.3,2023,Japan
NOR,McLaren,1.0,0 days 00:02:03.324000,MEDIUM,1.0,1.0,2.0,123.324,2023,Japan
NOR,McLaren,5.0,0 days 00:01:37.660000,MEDIUM,5.0,1.0,2.0,97.66,2023,Japan
NOR,McLaren,6.0,0 days 00:01:38.158000,MEDIUM,6.0,1.0,2.0,98.158,2023,Japan
NOR,McLaren,7.0,0 days 00:01:38.394000,MEDIUM,7.0,1.0,2.0,98.394,2023,Japan
NOR,McLaren,8.0,0 days 00:01:38.506000,MEDIUM,8.0,1.0,2.0,98.506,2023,Japan
NOR,McLaren,9.0,0 days 00:01:38.578000,MEDIUM,9.0,1.0,2.0,98.578,2023,Japan
NOR,McLaren,10.0,0 days 00:01:39.012000,MEDIUM,10.0,1.0,2.0,99.012,2023,Japan
NOR,McLaren,11.0,0 days 00:01:39.069000,MEDIUM,11.0,1.0,2.0,99.069,2023,Japan
