Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:24.238000,MEDIUM,1.0,1.0,1.0,84.238,2023,Monaco
VER,Red Bull Racing,2.0,0 days 00:01:19.367000,MEDIUM,2.0,1.0,1.0,79.367,2023,Monaco
VER,Red Bull Racing,3.0,0 days 00:01:19.074000,MEDIUM,3.0,1.0,1.0,79.074,2023,Monaco
VER,Red Bull Racing,4.0,0 days 00:01:18.129000,MEDIUM,4.0,1.0,1.0,78.129,2023,Monaco
VER,Red Bull Racing,5.0,0 days 00:01:18.019000,MEDIUM,5.0,1.0,1.0,78.019,2023,Monaco
VER,Red Bull Racing,6.0,0 days 00:01:17.640000,MEDIUM,6.0,1.0,1.0,77.64,2023,Monaco
VER,Red Bull Racing,7.0,0 days 00:01:17.633000,MEDIUM,7.0,1.0,1.0,77.633,2023,Monaco
VER,Red Bull Racing,8.0,0 days 00:01:17.397000,MEDIUM,8.0,1.0,1.0,77.397,2023,Monaco
VER,Red Bull Racing,9.0,0 days 00:01:17.031000,MEDIUM,9.0,1.0,1.0,77.031,2023,Monaco
VER,Red Bull Racing,10.0,0 days 00:01:17.084000,MEDIUM,10.0,1.0,1.0,77.084,2023,Monaco
VER,Red Bull Racing,11.0,0 days 00:01:16.858000,MEDIUM,11.0,1.0,1.0,76.858,2023,Monaco
VER,Red Bull Racing,12.0,0 days 00:01:16.993000,MEDIUM,12.0,1.0,1.0,76.993,2023,Monaco
VER,Red Bull Racing,13.0,0 days 00:01:17.434000,MEDIUM,13.0,1.0,1.0,77.434,2023,Monaco
VER,Red Bull Racing,14.0,0 days 00:01:17.065000,MEDIUM,14.0,1.0,1.0,77.065,2023,Monaco
VER,Red Bull Racing,15.0,0 days 00:01:17.079000,MEDIUM,15.0,1.0,1.0,77.079,2023,Monaco
VER,Red Bull Racing,16.0,0 days 00:01:16.824000,MEDIUM,16.0,1.0,1.0,76.824,2023,Monaco
VER,Red Bull Racing,17.0,0 days 00:01:16.860000,MEDIUM,17.0,1.0,1.0,76.86,2023,Monaco
VER,Red Bull Racing,18.0,0 days 00:01:16.712000,MEDIUM,18.0,1.0,1.0,76.712,2023,Monaco
VER,Red Bull Racing,19.0,0 days 00:01:16.823000,MEDIUM,19.0,1.0,1.0,76.823,2023,Monaco
VER,Red Bull Racing,20.0,0 days 00:01:17.214000,MEDIUM,20.0,1.0,1.0,77.214,2023,Monaco
VER,Red Bull Racing,21.0,0 days 00:01:16.803000,MEDIUM,21.0,1.0,1.0,76.803,2023,Monaco
VER,Red Bull Racing,22.0,0 days 00:01:16.659000,MEDIUM,22.0,1.0,1.0,76.659,2023,Monaco
VER,Red Bull Racing,23.0,0 days 00:01:16.604000,MEDIUM,23.0,1.0,1.0,76.604,2023,Monaco
VER,Red Bull Racing,24.0,0 days 00:01:16.798000,MEDIUM,24.0,1.0,1.0,76.798,2023,Monaco
VER,Red Bull Racing,25.0,0 days 00:01:17.183000,MEDIUM,25.0,1.0,1.0,77.183,2023,Monaco
VER,Red Bull Racing,26.0,0 days 00:01:17.212000,MEDIUM,26.0,1.0,1.0,77.212,2023,Monaco
VER,Red Bull Racing,27.0,0 days 00:01:17.259000,MEDIUM,27.0,1.0,1.0,77.259,2023,Monaco
VER,Red Bull Racing,28.0,0 days 00:01:17.770000,MEDIUM,28.0,1.0,1.0,77.77,2023,Monaco
VER,Red Bull Racing,29.0,0 days 00:01:18.001000,MEDIUM,29.0,1.0,1.0,78.001,2023,Monaco
VER,Red Bull Racing,30.0,0 days 00:01:18.160000,MEDIUM,30.0,1.0,1.0,78.16,2023,Monaco
VER,Red Bull Racing,31.0,0 days 00:01:18.741000,MEDIUM,31.0,1.0,1.0,78.741,2023,Monaco
VER,Red Bull Racing,32.0,0 days 00:01:18.816000,MEDIUM,32.0,1.0,1.0,78.816,2023,Monaco
VER,Red Bull Racing,33.0,0 days 00:01:18.946000,MEDIUM,33.0,1.0,1.0,78.946,2023,Monaco
VER,Red Bull Racing,34.0,0 days 00:01:18.044000,MEDIUM,34.0,1.0,1.0,78.044,2023,Monaco
VER,Red Bull Racing,35.0,0 days 00:01:18.024000,MEDIUM,35.0,1.0,1.0,78.024,2023,Monaco
VER,Red Bull Racing,36.0,0 days 00:01:17.974000,MEDIUM,36.0,1.0,1.0,77.974,2023,Monaco
VER,Red Bull Racing,37.0,0 days 00:01:17.273000,MEDIUM,37.0,1.0,1.0,77.273,2023,Monaco
VER,Red Bull Racing,38.0,0 days 00:01:17.122000,MEDIUM,38.0,1.0,1.0,77.122,2023,Monaco
VER,Red Bull Racing,39.0,0 days 00:01:16.966000,MEDIUM,39.0,1.0,1.0,76.966,2023,Monaco
VER,Red Bull Racing,40.0,0 days 00:01:17.161000,MEDIUM,40.0,1.0,1.0,77.161,2023,Monaco
VER,Red Bull Racing,41.0,0 days 00:01:16.944000,MEDIUM,41.0,1.0,1.0,76.944,2023,Monaco
VER,Red Bull Racing,42.0,0 days 00:01:16.800000,MEDIUM,42.0,1.0,1.0,76.8,2023,Monaco
VER,Red Bull Racing,43.0,0 days 00:01:16.963000,MEDIUM,43.0,1.0,1.0,76.963,2023,Monaco
VER,Red Bull Racing,44.0,0 days 00:01:16.722000,MEDIUM,44.0,1.0,1.0,76.722,2023,Monaco
VER,Red Bull Racing,45.0,0 days 00:01:16.701000,MEDIUM,45.0,1.0,1.0,76.701,2023,Monaco
VER,Red Bull Racing,46.0,0 days 00:01:17.075000,MEDIUM,46.0,1.0,1.0,77.075,2023,Monaco
VER,Red Bull Racing,47.0,0 days 00:01:17.160000,MEDIUM,47.0,1.0,1.0,77.16,2023,Monaco
VER,Red Bull Racing,48.0,0 days 00:01:17.065000,MEDIUM,48.0,1.0,1.0,77.065,2023,Monaco
VER,Red Bull Racing,49.0,0 days 00:01:17.428000,MEDIUM,49.0,1.0,1.0,77.428,2023,Monaco
VER,Red Bull Racing,50.0,0 days 00:01:17.314000,MEDIUM,50.0,1.0,1.0,77.314,2023,Monaco
VER,Red Bull Racing,51.0,0 days 00:01:17.427000,MEDIUM,51.0,1.0,1.0,77.427,2023,Monaco
VER,Red Bull Racing,52.0,0 days 00:01:24.046000,MEDIUM,52.0,1.0,1.0,84.046,2023,Monaco
VER,Red Bull Racing,53.0,0 days 00:01:29.919000,MEDIUM,53.0,1.0,1.0,89.919,2023,Monaco
VER,Red Bull Racing,54.0,0 days 00:01:38.946000,MEDIUM,54.0,1.0,1.0,98.946,2023,Monaco
VER,Red Bull Racing,55.0,0 days 00:02:10.567000,MEDIUM,55.0,1.0,1.0,130.567,2023,Monaco
VER,Red Bull Racing,56.0,0 days 00:01:46.131000,INTERMEDIATE,1.0,2.0,1.0,106.131,2023,Monaco
VER,Red Bull Racing,57.0,0 days 00:01:43.464000,INTERMEDIATE,2.0,2.0,1.0,103.464,2023,Monaco
VER,Red Bull Racing,58.0,0 days 00:01:42.808000,INTERMEDIATE,3.0,2.0,1.0,102.808,2023,Monaco
VER,Red Bull Racing,59.0,0 days 00:01:43.791000,INTERMEDIATE,4.0,2.0,1.0,103.791,2023,Monaco
VER,Red Bull Racing,60.0,0 days 00:01:41.540000,INTERMEDIATE,5.0,2.0,1.0,101.54,2023,Monaco
VER,Red Bull Racing,61.0,0 days 00:01:40.797000,INTERMEDIATE,6.0,2.0,1.0,100.797,2023,Monaco
VER,Red Bull Racing,62.0,0 days 00:01:39.272000,INTERMEDIATE,7.0,2.0,1.0,99.272,2023,Monaco
VER,Red Bull Racing,63.0,0 days 00:01:39.610000,INTERMEDIATE,8.0,2.0,1.0,99.61,2023,Monaco
VER,Red Bull Racing,64.0,0 days 00:01:38.364000,INTERMEDIATE,9.0,2.0,1.0,98.364,2023,Monaco
VER,Red Bull Racing,65.0,0 days 00:01:37.160000,INTERMEDIATE,10.0,2.0,1.0,97.16,2023,Monaco
VER,Red Bull Racing,66.0,0 days 00:01:34.035000,INTERMEDIATE,11.0,2.0,1.0,94.035,2023,Monaco
VER,Red Bull Racing,67.0,0 days 00:01:32.921000,INTERMEDIATE,12.0,2.0,1.0,92.921,2023,Monaco
VER,Red Bull Racing,68.0,0 days 00:01:33.659000,INTERMEDIATE,13.0,2.0,1.0,93.659,2023,Monaco
VER,Red Bull Racing,69.0,0 days 00:01:31.607000,INTERMEDIATE,14.0,2.0,1.0,91.607,2023,Monaco
VER,Red Bull Racing,70.0,0 days 00:01:31.244000,INTERMEDIATE,15.0,2.0,1.0,91.244,2023,Monaco
VER,Red Bull Racing,71.0,0 days 00:01:30.363000,INTERMEDIATE,16.0,2.0,1.0,90.363,2023,Monaco
VER,Red Bull Racing,72.0,0 days 00:01:30.402000,INTERMEDIATE,17.0,2.0,1.0,90.402,2023,Monaco
VER,Red Bull Racing,73.0,0 days 00:01:28.386000,INTERMEDIATE,18.0,2.0,1.0,88.386,2023,Monaco
VER,Red Bull Racing,74.0,0 days 00:01:26.864000,INTERMEDIATE,19.0,2.0,1.0,86.864,2023,Monaco
VER,Red Bull Racing,75.0,0 days 00:01:25.518000,INTERMEDIATE,20.0,2.0,1.0,85.518,2023,Monaco
VER,Red Bull Racing,76.0,0 days 00:01:25.316000,INTERMEDIATE,21.0,2.0,1.0,85.316,2023,Monaco
VER,Red Bull Racing,77.0,0 days 00:01:25.460000,INTERMEDIATE,22.0,2.0,1.0,85.46,2023,Monaco
VER,Red Bull Racing,78.0,0 days 00:01:25.201000,INTERMEDIATE,23.0,2.0,1.0,85.201,2023,Monaco
GAS,Alpine,1.0,0 days 00:01:29.701000,HARD,1.0,1.0,7.0,89.701,2023,Monaco
GAS,Alpine,2.0,0 days 00:01:20.636000,HARD,2.0,1.0,7.0,80.636,2023,Monaco
GAS,Alpine,3.0,0 days 00:01:20.282000,HARD,3.0,1.0,7.0,80.282,2023,Monaco
GAS,Alpine,4.0,0 days 00:01:19.577000,HARD,4.0,1.0,7.0,79.577,2023,Monaco
GAS,Alpine,5.0,0 days 00:01:18.893000,HARD,5.0,1.0,7.0,78.893,2023,Monaco
GAS,Alpine,6.0,0 days 00:01:18.842000,HARD,6.0,1.0,7.0,78.842,2023,Monaco
GAS,Alpine,7.0,0 days 00:01:18.604000,HARD,7.0,1.0,7.0,78.604,2023,Monaco
GAS,Alpine,8.0,0 days 00:01:19.317000,HARD,8.0,1.0,7.0,79.317,2023,Monaco
GAS,Alpine,9.0,0 days 00:01:18.788000,HARD,9.0,1.0,7.0,78.788,2023,Monaco
GAS,Alpine,10.0,0 days 00:01:18.310000,HARD,10.0,1.0,7.0,78.31,2023,Monaco
GAS,Alpine,11.0,0 days 00:01:18.367000,HARD,11.0,1.0,7.0,78.367,2023,Monaco
GAS,Alpine,12.0,0 days 00:01:18.582000,HARD,12.0,1.0,7.0,78.582,2023,Monaco
GAS,Alpine,13.0,0 days 00:01:17.713000,HARD,13.0,1.0,7.0,77.713,2023,Monaco
GAS,Alpine,14.0,0 days 00:01:18.564000,HARD,14.0,1.0,7.0,78.564,2023,Monaco
GAS,Alpine,15.0,0 days 00:01:18.284000,HARD,15.0,1.0,7.0,78.284,2023,Monaco
GAS,Alpine,16.0,0 days 00:01:18.298000,HARD,16.0,1.0,7.0,78.298,2023,Monaco
GAS,Alpine,17.0,0 days 00:01:17.990000,HARD,17.0,1.0,7.0,77.99,2023,Monaco
GAS,Alpine,18.0,0 days 00:01:18.453000,HARD,18.0,1.0,7.0,78.453,2023,Monaco
