Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:48.811000,MEDIUM,4.0,1.0,1.0,108.811,2023,Qatar
VER,Red Bull Racing,2.0,0 days 00:02:25.603000,MEDIUM,5.0,1.0,1.0,145.603,2023,Qatar
VER,Red Bull Racing,3.0,0 days 00:02:25.963000,MEDIUM,6.0,1.0,1.0,145.963,2023,Qatar
VER,Red Bull Racing,5.0,0 days 00:01:30.273000,MEDIUM,8.0,1.0,1.0,90.273,2023,Qatar
VER,Red Bull Racing,6.0,0 days 00:01:29.409000,MEDIUM,9.0,1.0,1.0,89.409,2023,Qatar
VER,Red Bull Racing,7.0,0 days 00:01:29.083000,MEDIUM,10.0,1.0,1.0,89.083,2023,Qatar
VER,Red Bull Racing,8.0,0 days 00:01:29.362000,MEDIUM,11.0,1.0,1.0,89.362,2023,Qatar
VER,Red Bull Racing,9.0,0 days 00:01:29.326000,MEDIUM,12.0,1.0,1.0,89.326,2023,Qatar
VER,Red Bull Racing,10.0,0 days 00:01:29.457000,MEDIUM,13.0,1.0,1.0,89.457,2023,Qatar
VER,Red Bull Racing,11.0,0 days 00:01:29.357000,MEDIUM,14.0,1.0,1.0,89.357,2023,Qatar
VER,Red Bull Racing,12.0,0 days 00:01:29.202000,MEDIUM,15.0,1.0,1.0,89.202,2023,Qatar
VER,Red Bull Racing,13.0,0 days 00:01:29.015000,MEDIUM,16.0,1.0,1.0,89.015,2023,Qatar
VER,Red Bull Racing,14.0,0 days 00:01:29.123000,MEDIUM,17.0,1.0,1.0,89.123,2023,Qatar
VER,Red Bull Racing,15.0,0 days 00:01:28.712000,MEDIUM,18.0,1.0,1.0,88.712,2023,Qatar
VER,Red Bull Racing,16.0,0 days 00:01:27.875000,MEDIUM,19.0,1.0,1.0,87.875,2023,Qatar
VER,Red Bull Racing,17.0,0 days 00:01:32.205000,MEDIUM,20.0,1.0,1.0,92.205,2023,Qatar
VER,Red Bull Racing,18.0,0 days 00:01:51.774000,MEDIUM,4.0,2.0,1.0,111.774,2023,Qatar
VER,Red Bull Racing,19.0,0 days 00:01:29.076000,MEDIUM,5.0,2.0,1.0,89.076,2023,Qatar
VER,Red Bull Racing,20.0,0 days 00:01:28.454000,MEDIUM,6.0,2.0,1.0,88.454,2023,Qatar
VER,Red Bull Racing,21.0,0 days 00:01:28.106000,MEDIUM,7.0,2.0,1.0,88.106,2023,Qatar
VER,Red Bull Racing,22.0,0 days 00:01:28.024000,MEDIUM,8.0,2.0,1.0,88.024,2023,Qatar
VER,Red Bull Racing,23.0,0 days 00:01:27.891000,MEDIUM,9.0,2.0,1.0,87.891,2023,Qatar
VER,Red Bull Racing,24.0,0 days 00:01:27.814000,MEDIUM,10.0,2.0,1.0,87.814,2023,Qatar
VER,Red Bull Racing,25.0,0 days 00:01:27.775000,MEDIUM,11.0,2.0,1.0,87.775,2023,Qatar
VER,Red Bull Racing,26.0,0 days 00:01:27.768000,MEDIUM,12.0,2.0,1.0,87.768,2023,Qatar
VER,Red Bull Racing,27.0,0 days 00:01:27.806000,MEDIUM,13.0,2.0,1.0,87.806,2023,Qatar
VER,Red Bull Racing,28.0,0 days 00:01:27.742000,MEDIUM,14.0,2.0,1.0,87.742,2023,Qatar
VER,Red Bull Racing,29.0,0 days 00:01:27.588000,MEDIUM,15.0,2.0,1.0,87.588,2023,Qatar
VER,Red Bull Racing,30.0,0 days 00:01:27.515000,MEDIUM,16.0,2.0,1.0,87.515,2023,Qatar
VER,Red Bull Racing,31.0,0 days 00:01:26.966000,MEDIUM,17.0,2.0,1.0,86.966,2023,Qatar
VER,Red Bull Racing,32.0,0 days 00:01:26.665000,MEDIUM,18.0,2.0,1.0,86.665,2023,Qatar
VER,Red Bull Racing,33.0,0 days 00:01:26.622000,MEDIUM,19.0,2.0,1.0,86.622,2023,Qatar
VER,Red Bull Racing,34.0,0 days 00:01:30.996000,MEDIUM,20.0,2.0,1.0,90.996,2023,Qatar
