Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:27.458000,MEDIUM,1.0,1.0,1.0,87.458,2024,Australia
VER,Red Bull Racing,2.0,0 days 00:01:24.099000,MEDIUM,2.0,1.0,2.0,84.099,2024,Australia
VER,Red Bull Racing,3.0,0 days 00:01:23.115000,MEDIUM,3.0,1.0,2.0,83.115,2024,Australia
GAS,Alpine,1.0,0 days 00:01:37.304000,MEDIUM,1.0,1.0,17.0,97.304,2024,Australia
GAS,Alpine,2.0,0 days 00:01:24.649000,MEDIUM,2.0,1.0,17.0,84.649,2024,Australia
GAS,Alpine,3.0,0 days 00:01:23.851000,MEDIUM,3.0,1.0,17.0,83.851,2024,Australia
GAS,Alpine,4.0,0 days 00:01:23.700000,MEDIUM,4.0,1.0,16.0,83.7,2024,Australia
GAS,Alpine,5.0,0 days 00:01:24.526000,MEDIUM,5.0,1.0,16.0,84.526,2024,Australia
GAS,Alpine,6.0,0 days 00:01:23.912000,MEDIUM,6.0,1.0,15.0,83.912,2024,Australia
GAS,Alpine,7.0,0 days 00:01:23.445000,MEDIUM,7.0,1.0,13.0,83.445,2024,Australia
GAS,Alpine,8.0,0 days 00:01:23.879000,MEDIUM,8.0,1.0,10.0,83.879,2024,Australia
GAS,Alpine,9.0,0 days 00:01:23.829000,MEDIUM,9.0,1.0,8.0,83.829,2024,Australia
GAS,Alpine,10.0,0 days 00:01:23.856000,MEDIUM,10.0,1.0,6.0,83.856,2024,Australia
GAS,Alpine,11.0,0 days 00:01:25.397000,MEDIUM,11.0,1.0,8.0,85.397,2024,Australia
GAS,Alpine,12.0,0 days 00:01:24.625000,MEDIUM,12.0,1.0,8.0,84.625,2024,Australia
GAS,Alpine,13.0,0 days 00:01:24.049000,MEDIUM,13.0,1.0,8.0,84.049,2024,Australia
GAS,Alpine,14.0,0 days 00:01:24.104000,MEDIUM,14.0,1.0,8.0,84.104,2024,Australia
GAS,Alpine,15.0,0 days 00:01:24.100000,MEDIUM,15.0,1.0,7.0,84.1,2024,Australia
GAS,Alpine,16.0,0 days 00:01:25.367000,MEDIUM,16.0,1.0,8.0,85.367,2024,Australia
GAS,Alpine,17.0,0 days 00:01:57.788000,MEDIUM,17.0,1.0,14.0,117.788,2024,Australia
GAS,Alpine,18.0,0 days 00:01:29.888000,HARD,1.0,2.0,15.0,89.888,2024,Australia
GAS,Alpine,19.0,0 days 00:01:23.922000,HARD,2.0,2.0,15.0,83.922,2024,Australia
GAS,Alpine,20.0,0 days 00:01:23.662000,HARD,3.0,2.0,15.0,83.662,2024,Australia
