Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
HAM,Mercedes,1.0,0 days 00:01:52.700000,MEDIUM,1.0,1.0,2.0,112.7,2024,Belgium
HAM,Mercedes,2.0,0 days 00:01:49.849000,MEDIUM,2.0,1.0,2.0,109.849,2024,Belgium
HAM,Mercedes,3.0,0 days 00:01:49.109000,MEDIUM,3.0,1.0,1.0,109.109,2024,Belgium
HAM,Mercedes,4.0,0 days 00:01:49.808000,MEDIUM,4.0,1.0,1.0,109.808,2024,Belgium
HAM,Mercedes,5.0,0 days 00:01:49.376000,MEDIUM,5.0,1.0,1.0,109.376,2024,Belgium
HAM,Mercedes,6.0,0 days 00:01:49.400000,MEDIUM,6.0,1.0,1.0,109.4,2024,Belgium
HAM,Mercedes,7.0,0 days 00:01:49.357000,MEDIUM,7.0,1.0,1.0,109.357,2024,Belgium
HAM,Mercedes,8.0,0 days 00:01:49.666000,MEDIUM,8.0,1.0,1.0,109.666,2024,Belgium
HAM,Mercedes,9.0,0 days 00:01:49.704000,MEDIUM,9.0,1.0,1.0,109.704,2024,Belgium
HAM,Mercedes,10.0,0 days 00:01:49.951000,MEDIUM,10.0,1.0,1.0,109.951,2024,Belgium
HAM,Mercedes,11.0,0 days 00:01:54.328000,MEDIUM,11.0,1.0,2.0,114.328,2024,Belgium
HAM,Mercedes,12.0,0 days 00:02:04.792000,HARD,1.0,2.0,5.0,124.792,2024,Belgium
HAM,Mercedes,13.0,0 days 00:01:48.204000,HARD,2.0,2.0,3.0,108.204,2024,Belgium
HAM,Mercedes,14.0,0 days 00:01:48.124000,HARD,3.0,2.0,3.0,108.124,2024,Belgium
HAM,Mercedes,15.0,0 days 00:01:48.150000,HARD,4.0,2.0,3.0,108.15,2024,Belgium
HAM,Mercedes,16.0,0 days 00:01:47.973000,HARD,5.0,2.0,2.0,107.973,2024,Belgium
HAM,Mercedes,17.0,0 days 00:01:47.957000,HARD,6.0,2.0,2.0,107.957,2024,Belgium
HAM,Mercedes,18.0,0 days 00:01:47.910000,HARD,7.0,2.0,2.0,107.91,2024,Belgium
HAM,Mercedes,19.0,0 days 00:01:48.040000,HARD,8.0,2.0,2.0,108.04,2024,Belgium
HAM,Mercedes,20.0,0 days 00:01:48.237000,HARD,9.0,2.0,1.0,108.237,2024,Belgium
HAM,Mercedes,21.0,0 days 00:01:48.396000,HARD,10.0,2.0,1.0,108.396,2024,Belgium
HAM,Mercedes,22.0,0 days 00:01:48.368000,HARD,11.0,2.0,1.0,108.368,2024,Belgium
HAM,Mercedes,23.0,0 days 00:01:48.338000,HARD,12.0,2.0,1.0,108.338,2024,Belgium
HAM,Mercedes,24.0,0 days 00:01:48.028000,HARD,13.0,2.0,1.0,108.028,2024,Belgium
HAM,Mercedes,25.0,0 days 00:01:47.845000,HARD,14.0,2.0,1.0,107.845,2024,Belgium
HAM,Mercedes,26.0,0 days 00:01:52.047000,HARD,15.0,2.0,1.0,112.047,2024,Belgium
HAM,Mercedes,27.0,0 days 00:02:01.300000,HARD,1.0,3.0,6.0,121.3,2024,Belgium
