Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:39.161000,INTERMEDIATE,1.0,1.0,11.0,99.161,2024,Brazil
VER,Red Bull Racing,2.0,0 days 00:01:27.134000,INTERMEDIATE,2.0,1.0,10.0,87.134,2024,Brazil
VER,Red Bull Racing,3.0,0 days 00:01:26.240000,INTERMEDIATE,3.0,1.0,10.0,86.24,2024,Brazil
VER,Red Bull Racing,4.0,0 days 00:01:26.702000,INTERMEDIATE,4.0,1.0,10.0,86.702,2024,Brazil
VER,Red Bull Racing,5.0,0 days 00:01:25.394000,INTERMEDIATE,5.0,1.0,9.0,85.394,2024,Brazil
VER,Red Bull Racing,6.0,0 days 00:01:24.311000,INTERMEDIATE,6.0,1.0,8.0,84.311,2024,Brazil
VER,Red Bull Racing,7.0,0 days 00:01:24.342000,INTERMEDIATE,7.0,1.0,8.0,84.342,2024,Brazil
VER,Red Bull Racing,8.0,0 days 00:01:24.657000,INTERMEDIATE,8.0,1.0,8.0,84.657,2024,Brazil
VER,Red Bull Racing,9.0,0 days 00:01:24.778000,INTERMEDIATE,9.0,1.0,8.0,84.778,2024,Brazil
VER,Red Bull Racing,10.0,0 days 00:01:24.015000,INTERMEDIATE,10.0,1.0,7.0,84.015,2024,Brazil
VER,Red Bull Racing,11.0,0 days 00:01:24.156000,INTERMEDIATE,11.0,1.0,6.0,84.156,2024,Brazil
VER,Red Bull Racing,12.0,0 days 00:01:23.430000,INTERMEDIATE,12.0,1.0,6.0,83.43,2024,Brazil
VER,Red Bull Racing,13.0,0 days 00:01:24.512000,INTERMEDIATE,13.0,1.0,6.0,84.512,2024,Brazil
VER,Red Bull Racing,14.0,0 days 00:01:24.791000,INTERMEDIATE,14.0,1.0,6.0,84.791,2024,Brazil
VER,Red Bull Racing,15.0,0 days 00:01:24.669000,INTERMEDIATE,15.0,1.0,6.0,84.669,2024,Brazil
VER,Red Bull Racing,16.0,0 days 00:01:25.131000,INTERMEDIATE,16.0,1.0,6.0,85.131,2024,Brazil
VER,Red Bull Racing,17.0,0 days 00:01:24.328000,INTERMEDIATE,17.0,1.0,6.0,84.328,2024,Brazil
VER,Red Bull Racing,18.0,0 days 00:01:24.248000,INTERMEDIATE,18.0,1.0,6.0,84.248,2024,Brazil
VER,Red Bull Racing,19.0,0 days 00:01:24.493000,INTERMEDIATE,19.0,1.0,6.0,84.493,2024,Brazil
VER,Red Bull Racing,20.0,0 days 00:01:23.915000,INTERMEDIATE,20.0,1.0,6.0,83.915,2024,Brazil
VER,Red Bull Racing,21.0,0 days 00:01:24.269000,INTERMEDIATE,21.0,1.0,6.0,84.269,2024,Brazil
VER,Red Bull Racing,22.0,0 days 00:01:25.055000,INTERMEDIATE,22.0,1.0,6.0,85.055,2024,Brazil
VER,Red Bull Racing,23.0,0 days 00:01:24.267000,INTERMEDIATE,23.0,1.0,6.0,84.267,2024,Brazil
VER,Red Bull Racing,24.0,0 days 00:01:24.530000,INTERMEDIATE,24.0,1.0,5.0,84.53,2024,Brazil
VER,Red Bull Racing,25.0,0 days 00:01:24.156000,INTERMEDIATE,25.0,1.0,5.0,84.156,2024,Brazil
VER,Red Bull Racing,26.0,0 days 00:01:25.252000,INTERMEDIATE,26.0,1.0,5.0,85.252,2024,Brazil
VER,Red Bull Racing,27.0,0 days 00:01:28.393000,INTERMEDIATE,27.0,1.0,5.0,88.393,2024,Brazil
VER,Red Bull Racing,28.0,0 days 00:01:51.717000,INTERMEDIATE,28.0,1.0,4.0,111.717,2024,Brazil
VER,Red Bull Racing,29.0,0 days 00:01:45.014000,INTERMEDIATE,29.0,1.0,2.0,105.014,2024,Brazil
VER,Red Bull Racing,30.0,0 days 00:01:59.319000,INTERMEDIATE,30.0,1.0,2.0,119.319,2024,Brazil
VER,Red Bull Racing,31.0,0 days 00:02:04.967000,INTERMEDIATE,31.0,1.0,2.0,124.967,2024,Brazil
VER,Red Bull Racing,34.0,0 days 00:01:30.360000,INTERMEDIATE,2.0,2.0,2.0,90.36,2024,Brazil
VER,Red Bull Racing,35.0,0 days 00:01:28.006000,INTERMEDIATE,3.0,2.0,2.0,88.006,2024,Brazil
VER,Red Bull Racing,36.0,0 days 00:01:26.509000,INTERMEDIATE,4.0,2.0,2.0,86.509,2024,Brazil
VER,Red Bull Racing,37.0,0 days 00:01:25.286000,INTERMEDIATE,5.0,2.0,2.0,85.286,2024,Brazil
VER,Red Bull Racing,38.0,0 days 00:01:24.391000,INTERMEDIATE,6.0,2.0,2.0,84.391,2024,Brazil
VER,Red Bull Racing,39.0,0 days 00:01:25.296000,INTERMEDIATE,7.0,2.0,2.0,85.296,2024,Brazil
VER,Red Bull Racing,40.0,0 days 00:02:09.449000,INTERMEDIATE,8.0,2.0,2.0,129.449,2024,Brazil
VER,Red Bull Racing,41.0,0 days 00:02:05.095000,INTERMEDIATE,9.0,2.0,2.0,125.095,2024,Brazil
VER,Red Bull Racing,42.0,0 days 00:02:22.964000,INTERMEDIATE,10.0,2.0,2.0,142.964,2024,Brazil
VER,Red Bull Racing,43.0,0 days 00:01:25.676000,INTERMEDIATE,11.0,2.0,1.0,85.676,2024,Brazil
VER,Red Bull Racing,44.0,0 days 00:01:23.884000,INTERMEDIATE,12.0,2.0,1.0,83.884,2024,Brazil
VER,Red Bull Racing,45.0,0 days 00:01:22.876000,INTERMEDIATE,13.0,2.0,1.0,82.876,2024,Brazil
VER,Red Bull Racing,46.0,0 days 00:01:23.106000,INTERMEDIATE,14.0,2.0,1.0,83.106,2024,Brazil
VER,Red Bull Racing,47.0,0 days 00:01:22.453000,INTERMEDIATE,15.0,2.0,1.0,82.453,2024,Brazil
VER,Red Bull Racing,48.0,0 days 00:01:22.290000,INTERMEDIATE,16.0,2.0,1.0,82.29,2024,Brazil
VER,Red Bull Racing,49.0,0 days 00:01:22.241000,INTERMEDIATE,17.0,2.0,1.0,82.241,2024,Brazil
VER,Red Bull Racing,50.0,0 days 00:01:22.043000,INTERMEDIATE,18.0,2.0,1.0,82.043,2024,Brazil
VER,Red Bull Racing,51.0,0 days 00:01:22.306000,INTERMEDIATE,19.0,2.0,1.0,82.306,2024,Brazil
VER,Red Bull Racing,52.0,0 days 00:01:22.380000,INTERMEDIATE,20.0,2.0,1.0,82.38,2024,Brazil
VER,Red Bull Racing,53.0,0 days 00:01:22.251000,INTERMEDIATE,21.0,2.0,1.0,82.251,2024,Brazil
VER,Red Bull Racing,54.0,0 days 00:01:22.246000,INTERMEDIATE,22.0,2.0,1.0,82.246,2024,Brazil
VER,Red Bull Racing,55.0,0 days 00:01:22.291000,INTERMEDIATE,23.0,2.0,1.0,82.291,2024,Brazil
VER,Red Bull Racing,56.0,0 days 00:01:22.005000,INTERMEDIATE,24.0,2.0,1.0,82.005,2024,Brazil
