Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:44.993000,INTERMEDIATE,1.0,1.0,2.0,104.993,2024,Canada
VER,Red Bull Racing,2.0,0 days 00:01:37.672000,INTERMEDIATE,2.0,1.0,2.0,97.672,2024,Canada
VER,Red Bull Racing,3.0,0 days 00:01:36.443000,INTERMEDIATE,3.0,1.0,2.0,96.443,2024,Canada
VER,Red Bull Racing,4.0,0 days 00:01:35.105000,INTERMEDIATE,4.0,1.0,2.0,95.105,2024,Canada
VER,Red Bull Racing,5.0,0 days 00:01:33.859000,INTERMEDIATE,5.0,1.0,2.0,93.859,2024,Canada
VER,Red Bull Racing,6.0,0 days 00:01:32.634000,INTERMEDIATE,6.0,1.0,2.0,92.634,2024,Canada
VER,Red Bull Racing,7.0,0 days 00:01:31.258000,INTERMEDIATE,7.0,1.0,2.0,91.258,2024,Canada
VER,Red Bull Racing,8.0,0 days 00:01:30.766000,INTERMEDIATE,8.0,1.0,2.0,90.766,2024,Canada
VER,Red Bull Racing,9.0,0 days 00:01:30.159000,INTERMEDIATE,9.0,1.0,2.0,90.159,2024,Canada
VER,Red Bull Racing,10.0,0 days 00:01:29.295000,INTERMEDIATE,10.0,1.0,2.0,89.295,2024,Canada
VER,Red Bull Racing,11.0,0 days 00:01:29.700000,INTERMEDIATE,11.0,1.0,2.0,89.7,2024,Canada
VER,Red Bull Racing,12.0,0 days 00:01:28.991000,INTERMEDIATE,12.0,1.0,2.0,88.991,2024,Canada
VER,Red Bull Racing,13.0,0 days 00:01:28.532000,INTERMEDIATE,13.0,1.0,2.0,88.532,2024,Canada
VER,Red Bull Racing,14.0,0 days 00:01:28.527000,INTERMEDIATE,14.0,1.0,2.0,88.527,2024,Canada
VER,Red Bull Racing,15.0,0 days 00:01:28.637000,INTERMEDIATE,15.0,1.0,2.0,88.637,2024,Canada
VER,Red Bull Racing,16.0,0 days 00:01:28.138000,INTERMEDIATE,16.0,1.0,2.0,88.138,2024,Canada
VER,Red Bull Racing,17.0,0 days 00:01:29.256000,INTERMEDIATE,17.0,1.0,2.0,89.256,2024,Canada
VER,Red Bull Racing,18.0,0 days 00:01:26.436000,INTERMEDIATE,18.0,1.0,2.0,86.436,2024,Canada
VER,Red Bull Racing,19.0,0 days 00:01:26.001000,INTERMEDIATE,19.0,1.0,2.0,86.001,2024,Canada
VER,Red Bull Racing,20.0,0 days 00:01:26.265000,INTERMEDIATE,20.0,1.0,3.0,86.265,2024,Canada
VER,Red Bull Racing,21.0,0 days 00:01:26.578000,INTERMEDIATE,21.0,1.0,2.0,86.578,2024,Canada
VER,Red Bull Racing,22.0,0 days 00:01:26.590000,INTERMEDIATE,22.0,1.0,2.0,86.59,2024,Canada
VER,Red Bull Racing,23.0,0 days 00:01:26.591000,INTERMEDIATE,23.0,1.0,2.0,86.591,2024,Canada
VER,Red Bull Racing,24.0,0 days 00:01:27.034000,INTERMEDIATE,24.0,1.0,2.0,87.034,2024,Canada
VER,Red Bull Racing,25.0,0 days 00:01:53.896000,INTERMEDIATE,25.0,1.0,2.0,113.896,2024,Canada
VER,Red Bull Racing,26.0,0 days 00:01:49.849000,INTERMEDIATE,1.0,2.0,1.0,109.849,2024,Canada
VER,Red Bull Racing,27.0,0 days 00:02:10.108000,INTERMEDIATE,2.0,2.0,1.0,130.108,2024,Canada
VER,Red Bull Racing,28.0,0 days 00:02:08.316000,INTERMEDIATE,3.0,2.0,1.0,128.316,2024,Canada
