Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:41.528000,MEDIUM,1.0,1.0,1.0,101.528,2024,China
VER,Red Bull Racing,2.0,0 days 00:01:40.103000,MEDIUM,2.0,1.0,1.0,100.103,2024,China
VER,Red Bull Racing,3.0,0 days 00:01:40.494000,MEDIUM,3.0,1.0,1.0,100.494,2024,China
VER,Red Bull Racing,4.0,0 days 00:01:40.573000,MEDIUM,4.0,1.0,1.0,100.573,2024,China
VER,Red Bull Racing,5.0,0 days 00:01:40.919000,MEDIUM,5.0,1.0,1.0,100.919,2024,China
VER,Red Bull Racing,6.0,0 days 00:01:41.147000,MEDIUM,6.0,1.0,1.0,101.147,2024,China
VER,Red Bull Racing,7.0,0 days 00:01:41.118000,MEDIUM,7.0,1.0,1.0,101.118,2024,China
VER,Red Bull Racing,8.0,0 days 00:01:41.110000,MEDIUM,8.0,1.0,1.0,101.11,2024,China
VER,Red Bull Racing,9.0,0 days 00:01:41.155000,MEDIUM,9.0,1.0,1.0,101.155,2024,China
VER,Red Bull Racing,10.0,0 days 00:01:41.424000,MEDIUM,10.0,1.0,1.0,101.424,2024,China
VER,Red Bull Racing,11.0,0 days 00:01:41.401000,MEDIUM,11.0,1.0,1.0,101.401,2024,China
VER,Red Bull Racing,12.0,0 days 00:01:41.318000,MEDIUM,12.0,1.0,1.0,101.318,2024,China
VER,Red Bull Racing,13.0,0 days 00:01:46.526000,MEDIUM,13.0,1.0,1.0,106.526,2024,China
VER,Red Bull Racing,14.0,0 days 00:01:59.074000,HARD,1.0,2.0,3.0,119.074,2024,China
VER,Red Bull Racing,15.0,0 days 00:01:39.591000,HARD,2.0,2.0,3.0,99.591,2024,China
VER,Red Bull Racing,16.0,0 days 00:01:39.985000,HARD,3.0,2.0,2.0,99.985,2024,China
VER,Red Bull Racing,17.0,0 days 00:01:39.519000,HARD,4.0,2.0,2.0,99.519,2024,China
VER,Red Bull Racing,18.0,0 days 00:01:40.070000,HARD,5.0,2.0,2.0,100.07,2024,China
VER,Red Bull Racing,19.0,0 days 00:01:40.139000,HARD,6.0,2.0,1.0,100.139,2024,China
VER,Red Bull Racing,20.0,0 days 00:01:40.081000,HARD,7.0,2.0,1.0,100.081,2024,China
VER,Red Bull Racing,21.0,0 days 00:01:40.490000,HARD,8.0,2.0,1.0,100.49,2024,China
VER,Red Bull Racing,22.0,0 days 00:02:14.296000,HARD,9.0,2.0,1.0,134.296,2024,China
VER,Red Bull Racing,23.0,0 days 00:02:17.938000,HARD,10.0,2.0,1.0,137.938,2024,China
VER,Red Bull Racing,25.0,0 days 00:02:25.050000,HARD,2.0,3.0,1.0,145.05,2024,China
VER,Red Bull Racing,27.0,0 days 00:01:47.123000,HARD,4.0,3.0,1.0,107.123,2024,China
VER,Red Bull Racing,29.0,0 days 00:02:26.570000,HARD,6.0,3.0,1.0,146.57,2024,China
VER,Red Bull Racing,30.0,0 days 00:02:20.118000,HARD,7.0,3.0,1.0,140.118,2024,China
VER,Red Bull Racing,31.0,0 days 00:02:28.770000,HARD,8.0,3.0,1.0,148.77,2024,China
VER,Red Bull Racing,32.0,0 days 00:01:38.604000,HARD,9.0,3.0,1.0,98.604,2024,China
VER,Red Bull Racing,33.0,0 days 00:01:38.406000,HARD,10.0,3.0,1.0,98.406,2024,China
VER,Red Bull Racing,34.0,0 days 00:01:38.426000,HARD,11.0,3.0,1.0,98.426,2024,China
VER,Red Bull Racing,35.0,0 days 00:01:38.765000,HARD,12.0,3.0,1.0,98.765,2024,China
VER,Red Bull Racing,36.0,0 days 00:01:38.825000,HARD,13.0,3.0,1.0,98.825,2024,China
VER,Red Bull Racing,37.0,0 days 00:01:38.801000,HARD,14.0,3.0,1.0,98.801,2024,China
VER,Red Bull Racing,38.0,0 days 00:01:38.855000,HARD,15.0,3.0,1.0,98.855,2024,China
VER,Red Bull Racing,39.0,0 days 00:01:38.742000,HARD,16.0,3.0,1.0,98.742,2024,China
VER,Red Bull Racing,40.0,0 days 00:01:38.956000,HARD,17.0,3.0,1.0,98.956,2024,China
VER,Red Bull Racing,41.0,0 days 00:01:39.067000,HARD,18.0,3.0,1.0,99.067,2024,China
VER,Red Bull Racing,42.0,0 days 00:01:39.227000,HARD,19.0,3.0,1.0,99.227,2024,China
VER,Red Bull Racing,43.0,0 days 00:01:39.224000,HARD,20.0,3.0,1.0,99.224,2024,China
VER,Red Bull Racing,44.0,0 days 00:01:39.305000,HARD,21.0,3.0,1.0,99.305,2024,China
VER,Red Bull Racing,45.0,0 days 00:01:39.216000,HARD,22.0,3.0,1.0,99.216,2024,China
