Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:22.881000,MEDIUM,1.0,1.0,1.0,82.881,2024,Emilia Romagna
VER,Red Bull Racing,2.0,0 days 00:01:20.596000,MEDIUM,2.0,1.0,1.0,80.596,2024,Emilia Romagna
VER,Red Bull Racing,3.0,0 days 00:01:20.872000,MEDIUM,3.0,1.0,1.0,80.872,2024,Emilia Romagna
VER,Red Bull Racing,4.0,0 days 00:01:20.671000,MEDIUM,4.0,1.0,1.0,80.671,2024,Emilia Romagna
VER,Red Bull Racing,5.0,0 days 00:01:20.734000,MEDIUM,5.0,1.0,1.0,80.734,2024,Emilia Romagna
VER,Red Bull Racing,6.0,0 days 00:01:20.868000,MEDIUM,6.0,1.0,1.0,80.868,2024,Emilia Romagna
VER,Red Bull Racing,7.0,0 days 00:01:20.868000,MEDIUM,7.0,1.0,1.0,80.868,2024,Emilia Romagna
VER,Red Bull Racing,8.0,0 days 00:01:20.762000,MEDIUM,8.0,1.0,1.0,80.762,2024,Emilia Romagna
VER,Red Bull Racing,9.0,0 days 00:01:20.543000,MEDIUM,9.0,1.0,1.0,80.543,2024,Emilia Romagna
VER,Red Bull Racing,10.0,0 days 00:01:21.093000,MEDIUM,10.0,1.0,1.0,81.093,2024,Emilia Romagna
VER,Red Bull Racing,11.0,0 days 00:01:20.885000,MEDIUM,11.0,1.0,1.0,80.885,2024,Emilia Romagna
VER,Red Bull Racing,12.0,0 days 00:01:21.287000,MEDIUM,12.0,1.0,1.0,81.287,2024,Emilia Romagna
VER,Red Bull Racing,13.0,0 days 00:01:21.073000,MEDIUM,13.0,1.0,1.0,81.073,2024,Emilia Romagna
VER,Red Bull Racing,14.0,0 days 00:01:20.982000,MEDIUM,14.0,1.0,1.0,80.982,2024,Emilia Romagna
VER,Red Bull Racing,15.0,0 days 00:01:21.323000,MEDIUM,15.0,1.0,1.0,81.323,2024,Emilia Romagna
VER,Red Bull Racing,16.0,0 days 00:01:21.362000,MEDIUM,16.0,1.0,1.0,81.362,2024,Emilia Romagna
VER,Red Bull Racing,17.0,0 days 00:01:21.328000,MEDIUM,17.0,1.0,1.0,81.328,2024,Emilia Romagna
VER,Red Bull Racing,18.0,0 days 00:01:21.411000,MEDIUM,18.0,1.0,1.0,81.411,2024,Emilia Romagna
VER,Red Bull Racing,19.0,0 days 00:01:21.517000,MEDIUM,19.0,1.0,1.0,81.517,2024,Emilia Romagna
VER,Red Bull Racing,20.0,0 days 00:01:21.550000,MEDIUM,20.0,1.0,1.0,81.55,2024,Emilia Romagna
VER,Red Bull Racing,21.0,0 days 00:01:21.608000,MEDIUM,21.0,1.0,1.0,81.608,2024,Emilia Romagna
VER,Red Bull Racing,22.0,0 days 00:01:21.763000,MEDIUM,22.0,1.0,1.0,81.763,2024,Emilia Romagna
VER,Red Bull Racing,23.0,0 days 00:01:21.988000,MEDIUM,23.0,1.0,1.0,81.988,2024,Emilia Romagna
VER,Red Bull Racing,24.0,0 days 00:01:26.212000,MEDIUM,24.0,1.0,1.0,86.212,2024,Emilia Romagna
VER,Red Bull Racing,25.0,0 days 00:01:43.602000,HARD,1.0,2.0,4.0,103.602,2024,Emilia Romagna
VER,Red Bull Racing,26.0,0 days 00:01:20.482000,HARD,2.0,2.0,3.0,80.482,2024,Emilia Romagna
VER,Red Bull Racing,27.0,0 days 00:01:20.943000,HARD,3.0,2.0,2.0,80.943,2024,Emilia Romagna
VER,Red Bull Racing,28.0,0 days 00:01:20.709000,HARD,4.0,2.0,1.0,80.709,2024,Emilia Romagna
VER,Red Bull Racing,29.0,0 days 00:01:20.615000,HARD,5.0,2.0,1.0,80.615,2024,Emilia Romagna
VER,Red Bull Racing,30.0,0 days 00:01:20.571000,HARD,6.0,2.0,1.0,80.571,2024,Emilia Romagna
VER,Red Bull Racing,31.0,0 days 00:01:20.545000,HARD,7.0,2.0,1.0,80.545,2024,Emilia Romagna
VER,Red Bull Racing,32.0,0 days 00:01:20.713000,HARD,8.0,2.0,1.0,80.713,2024,Emilia Romagna
VER,Red Bull Racing,33.0,0 days 00:01:21.141000,HARD,9.0,2.0,1.0,81.141,2024,Emilia Romagna
VER,Red Bull Racing,34.0,0 days 00:01:20.760000,HARD,10.0,2.0,1.0,80.76,2024,Emilia Romagna
VER,Red Bull Racing,35.0,0 days 00:01:20.800000,HARD,11.0,2.0,1.0,80.8,2024,Emilia Romagna
VER,Red Bull Racing,36.0,0 days 00:01:20.704000,HARD,12.0,2.0,1.0,80.704,2024,Emilia Romagna
VER,Red Bull Racing,37.0,0 days 00:01:20.484000,HARD,13.0,2.0,1.0,80.484,2024,Emilia Romagna
VER,Red Bull Racing,38.0,0 days 00:01:20.366000,HARD,14.0,2.0,1.0,80.366,2024,Emilia Romagna
VER,Red Bull Racing,39.0,0 days 00:01:20.547000,HARD,15.0,2.0,1.0,80.547,2024,Emilia Romagna
VER,Red Bull Racing,40.0,0 days 00:01:20.645000,HARD,16.0,2.0,1.0,80.645,2024,Emilia Romagna
VER,Red Bull Racing,41.0,0 days 00:01:20.675000,HARD,17.0,2.0,1.0,80.675,2024,Emilia Romagna
VER,Red Bull Racing,42.0,0 days 00:01:20.832000,HARD,18.0,2.0,1.0,80.832,2024,Emilia Romagna
