Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
SAI,Ferrari,1.0,0 days 00:01:47.224000,MEDIUM,1.0,1.0,2.0,107.224,2024,Mexico
SAI,Ferrari,2.0,0 days 00:02:17.937000,MEDIUM,2.0,1.0,2.0,137.937,2024,Mexico
SAI,Ferrari,3.0,0 days 00:02:13.771000,MEDIUM,3.0,1.0,2.0,133.771,2024,Mexico
SAI,Ferrari,4.0,0 days 00:02:10.043000,MEDIUM,4.0,1.0,2.0,130.043,2024,Mexico
SAI,Ferrari,5.0,0 days 00:02:09.925000,MEDIUM,5.0,1.0,2.0,129.925,2024,Mexico
SAI,Ferrari,6.0,0 days 00:02:03.834000,MEDIUM,6.0,1.0,2.0,123.834,2024,Mexico
SAI,Ferrari,7.0,0 days 00:01:21.830000,MEDIUM,7.0,1.0,2.0,81.83,2024,Mexico
SAI,Ferrari,8.0,0 days 00:01:21.284000,MEDIUM,8.0,1.0,2.0,81.284,2024,Mexico
SAI,Ferrari,9.0,0 days 00:01:22.493000,MEDIUM,9.0,1.0,1.0,82.493,2024,Mexico
SAI,Ferrari,10.0,0 days 00:01:22.438000,MEDIUM,10.0,1.0,1.0,82.438,2024,Mexico
SAI,Ferrari,11.0,0 days 00:01:21.847000,MEDIUM,11.0,1.0,1.0,81.847,2024,Mexico
SAI,Ferrari,12.0,0 days 00:01:21.515000,MEDIUM,12.0,1.0,1.0,81.515,2024,Mexico
SAI,Ferrari,13.0,0 days 00:01:21.715000,MEDIUM,13.0,1.0,1.0,81.715,2024,Mexico
SAI,Ferrari,14.0,0 days 00:01:21.475000,MEDIUM,14.0,1.0,1.0,81.475,2024,Mexico
SAI,Ferrari,15.0,0 days 00:01:21.516000,MEDIUM,15.0,1.0,1.0,81.516,2024,Mexico
SAI,Ferrari,16.0,0 days 00:01:21.590000,MEDIUM,16.0,1.0,1.0,81.59,2024,Mexico
SAI,Ferrari,17.0,0 days 00:01:22.012000,MEDIUM,17.0,1.0,1.0,82.012,2024,Mexico
SAI,Ferrari,18.0,0 days 00:01:21.765000,MEDIUM,18.0,1.0,1.0,81.765,2024,Mexico
SAI,Ferrari,19.0,0 days 00:01:21.715000,MEDIUM,19.0,1.0,1.0,81.715,2024,Mexico
SAI,Ferrari,20.0,0 days 00:01:21.789000,MEDIUM,20.0,1.0,1.0,81.789,2024,Mexico
SAI,Ferrari,21.0,0 days 00:01:21.413000,MEDIUM,21.0,1.0,1.0,81.413,2024,Mexico
SAI,Ferrari,22.0,0 days 00:01:21.682000,MEDIUM,22.0,1.0,1.0,81.682,2024,Mexico
SAI,Ferrari,23.0,0 days 00:01:21.516000,MEDIUM,23.0,1.0,1.0,81.516,2024,Mexico
SAI,Ferrari,24.0,0 days 00:01:21.428000,MEDIUM,24.0,1.0,1.0,81.428,2024,Mexico
SAI,Ferrari,25.0,0 days 00:01:21.659000,MEDIUM,25.0,1.0,1.0,81.659,2024,Mexico
SAI,Ferrari,26.0,0 days 00:01:21.596000,MEDIUM,26.0,1.0,1.0,81.596,2024,Mexico
SAI,Ferrari,27.0,0 days 00:01:21.827000,MEDIUM,27.0,1.0,1.0,81.827,2024,Mexico
SAI,Ferrari,28.0,0 days 00:01:22.008000,MEDIUM,28.0,1.0,1.0,82.008,2024,Mexico
SAI,Ferrari,29.0,0 days 00:01:21.869000,MEDIUM,29.0,1.0,1.0,81.869,2024,Mexico
SAI,Ferrari,30.0,0 days 00:01:21.837000,MEDIUM,30.0,1.0,1.0,81.837,2024,Mexico
SAI,Ferrari,31.0,0 days 00:01:22.057000,MEDIUM,31.0,1.0,1.0,82.057,2024,Mexico
SAI,Ferrari,32.0,0 days 00:01:25.108000,MEDIUM,32.0,1.0,1.0,85.108,2024,Mexico
SAI,Ferrari,33.0,0 days 00:01:39.813000,HARD,1.0,2.0,1.0,99.813,2024,Mexico
SAI,Ferrari,34.0,0 days 00:01:21.037000,HARD,2.0,2.0,1.0,81.037,2024,Mexico
SAI,Ferrari,35.0,0 days 00:01:21.190000,HARD,3.0,2.0,1.0,81.19,2024,Mexico
SAI,Ferrari,36.0,0 days 00:01:21.079000,HARD,4.0,2.0,1.0,81.079,2024,Mexico
SAI,Ferrari,37.0,0 days 00:01:21.153000,HARD,5.0,2.0,1.0,81.153,2024,Mexico
SAI,Ferrari,38.0,0 days 00:01:20.616000,HARD,6.0,2.0,1.0,80.616,2024,Mexico
SAI,Ferrari,39.0,0 days 00:01:20.995000,HARD,7.0,2.0,1.0,80.995,2024,Mexico
SAI,Ferrari,40.0,0 days 00:01:20.688000,HARD,8.0,2.0,1.0,80.688,2024,Mexico
SAI,Ferrari,41.0,0 days 00:01:20.980000,HARD,9.0,2.0,1.0,80.98,2024,Mexico
SAI,Ferrari,42.0,0 days 00:01:20.939000,HARD,10.0,2.0,1.0,80.939,2024,Mexico
SAI,Ferrari,43.0,0 days 00:01:20.840000,HARD,11.0,2.0,1.0,80.84,2024,Mexico
SAI,Ferrari,44.0,0 days 00:01:20.806000,HARD,12.0,2.0,1.0,80.806,2024,Mexico
SAI,Ferrari,45.0,0 days 00:01:20.582000,HARD,13.0,2.0,1.0,80.582,2024,Mexico
SAI,Ferrari,46.0,0 days 00:01:20.592000,HARD,14.0,2.0,1.0,80.592,2024,Mexico
SAI,Ferrari,47.0,0 days 00:01:20.375000,HARD,15.0,2.0,1.0,80.375,2024,Mexico
SAI,Ferrari,48.0,0 days 00:01:20.747000,HARD,16.0,2.0,1.0,80.747,2024,Mexico
SAI,Ferrari,49.0,0 days 00:01:20.815000,HARD,17.0,2.0,1.0,80.815,2024,Mexico
SAI,Ferrari,50.0,0 days 00:01:20.733000,HARD,18.0,2.0,1.0,80.733,2024,Mexico
SAI,Ferrari,51.0,0 days 00:01:20.825000,HARD,19.0,2.0,1.0,80.825,2024,Mexico
SAI,Ferrari,52.0,0 days 00:01:20.965000,HARD,20.0,2.0,1.0,80.965,2024,Mexico
SAI,Ferrari,53.0,0 days 00:01:20.719000,HARD,21.0,2.0,1.0,80.719,2024,Mexico
SAI,Ferrari,54.0,0 days 00:01:20.650000,HARD,22.0,2.0,1.0,80.65,2024,Mexico
SAI,Ferrari,55.0,0 days 00:01:20.306000,HARD,23.0,2.0,1.0,80.306,2024,Mexico
SAI,Ferrari,56.0,0 days 00:01:20.256000,HARD,24.0,2.0,1.0,80.256,2024,Mexico
SAI,Ferrari,57.0,0 days 00:01:20.315000,HARD,25.0,2.0,1.0,80.315,2024,Mexico
SAI,Ferrari,58.0,0 days 00:01:20.341000,HARD,26.0,2.0,1.0,80.341,2024,Mexico
SAI,Ferrari,59.0,0 days 00:01:20.730000,HARD,27.0,2.0,1.0,80.73,2024,Mexico
SAI,Ferrari,60.0,0 days 00:01:20.326000,HARD,28.0,2.0,1.0,80.326,2024,Mexico
SAI,Ferrari,61.0,0 days 00:01:20.215000,HARD,29.0,2.0,1.0,80.215,2024,Mexico
SAI,Ferrari,62.0,0 days 00:01:20.137000,HARD,30.0,2.0,1.0,80.137,2024,Mexico
SAI,Ferrari,63.0,0 days 00:01:20.556000,HARD,31.0,2.0,1.0,80.556,2024,Mexico
SAI,Ferrari,64.0,0 days 00:01:20.493000,HARD,32.0,2.0,1.0,80.493,2024,Mexico
