Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:34.338000,MEDIUM,1.0,1.0,1.0,94.338,2024,Miami
VER,Red Bull Racing,2.0,0 days 00:01:33.093000,MEDIUM,2.0,1.0,1.0,93.093,2024,Miami
VER,Red Bull Racing,3.0,0 days 00:01:33.137000,MEDIUM,3.0,1.0,1.0,93.137,2024,Miami
VER,Red Bull Racing,4.0,0 days 00:01:33.504000,MEDIUM,4.0,1.0,1.0,93.504,2024,Miami
VER,Red Bull Racing,5.0,0 days 00:01:32.834000,MEDIUM,5.0,1.0,1.0,92.834,2024,Miami
VER,Red Bull Racing,6.0,0 days 00:01:32.939000,MEDIUM,6.0,1.0,1.0,92.939,2024,Miami
VER,Red Bull Racing,7.0,0 days 00:01:32.895000,MEDIUM,7.0,1.0,1.0,92.895,2024,Miami
VER,Red Bull Racing,8.0,0 days 00:01:32.838000,MEDIUM,8.0,1.0,1.0,92.838,2024,Miami
VER,Red Bull Racing,9.0,0 days 00:01:33.289000,MEDIUM,9.0,1.0,1.0,93.289,2024,Miami
VER,Red Bull Racing,10.0,0 days 00:01:33.267000,MEDIUM,10.0,1.0,1.0,93.267,2024,Miami
VER,Red Bull Racing,11.0,0 days 00:01:33.501000,MEDIUM,11.0,1.0,1.0,93.501,2024,Miami
VER,Red Bull Racing,12.0,0 days 00:01:33.097000,MEDIUM,12.0,1.0,1.0,93.097,2024,Miami
VER,Red Bull Racing,13.0,0 days 00:01:33.129000,MEDIUM,13.0,1.0,1.0,93.129,2024,Miami
VER,Red Bull Racing,14.0,0 days 00:01:32.918000,MEDIUM,14.0,1.0,1.0,92.918,2024,Miami
VER,Red Bull Racing,15.0,0 days 00:01:32.807000,MEDIUM,15.0,1.0,1.0,92.807,2024,Miami
VER,Red Bull Racing,16.0,0 days 00:01:32.749000,MEDIUM,16.0,1.0,1.0,92.749,2024,Miami
VER,Red Bull Racing,17.0,0 days 00:01:32.920000,MEDIUM,17.0,1.0,1.0,92.92,2024,Miami
VER,Red Bull Racing,18.0,0 days 00:01:33.022000,MEDIUM,18.0,1.0,1.0,93.022,2024,Miami
VER,Red Bull Racing,19.0,0 days 00:01:32.668000,MEDIUM,19.0,1.0,1.0,92.668,2024,Miami
VER,Red Bull Racing,20.0,0 days 00:01:32.530000,MEDIUM,20.0,1.0,1.0,92.53,2024,Miami
VER,Red Bull Racing,21.0,0 days 00:01:32.926000,MEDIUM,21.0,1.0,1.0,92.926,2024,Miami
VER,Red Bull Racing,22.0,0 days 00:01:32.906000,MEDIUM,22.0,1.0,1.0,92.906,2024,Miami
VER,Red Bull Racing,23.0,0 days 00:01:51.938000,MEDIUM,23.0,1.0,2.0,111.938,2024,Miami
VER,Red Bull Racing,24.0,0 days 00:01:47.087000,HARD,1.0,2.0,4.0,107.087,2024,Miami
VER,Red Bull Racing,25.0,0 days 00:01:32.298000,HARD,2.0,2.0,4.0,92.298,2024,Miami
VER,Red Bull Racing,26.0,0 days 00:01:32.410000,HARD,3.0,2.0,4.0,92.41,2024,Miami
VER,Red Bull Racing,27.0,0 days 00:01:32.515000,HARD,4.0,2.0,4.0,92.515,2024,Miami
VER,Red Bull Racing,28.0,0 days 00:01:39.376000,HARD,5.0,2.0,2.0,99.376,2024,Miami
VER,Red Bull Racing,29.0,0 days 00:02:26.519000,HARD,6.0,2.0,2.0,146.519,2024,Miami
VER,Red Bull Racing,30.0,0 days 00:02:04.420000,HARD,7.0,2.0,2.0,124.42,2024,Miami
VER,Red Bull Racing,31.0,0 days 00:01:41.077000,HARD,8.0,2.0,2.0,101.077,2024,Miami
VER,Red Bull Racing,33.0,0 days 00:01:32.227000,HARD,10.0,2.0,2.0,92.227,2024,Miami
VER,Red Bull Racing,34.0,0 days 00:01:31.611000,HARD,11.0,2.0,2.0,91.611,2024,Miami
VER,Red Bull Racing,35.0,0 days 00:01:31.409000,HARD,12.0,2.0,2.0,91.409,2024,Miami
VER,Red Bull Racing,36.0,0 days 00:01:31.456000,HARD,13.0,2.0,2.0,91.456,2024,Miami
VER,Red Bull Racing,37.0,0 days 00:01:31.377000,HARD,14.0,2.0,2.0,91.377,2024,Miami
VER,Red Bull Racing,38.0,0 days 00:01:31.526000,HARD,15.0,2.0,2.0,91.526,2024,Miami
VER,Red Bull Racing,39.0,0 days 00:01:31.336000,HARD,16.0,2.0,2.0,91.336,2024,Miami
VER,Red Bull Racing,40.0,0 days 00:01:31.487000,HARD,17.0,2.0,2.0,91.487,2024,Miami
VER,Red Bull Racing,41.0,0 days 00:01:31.375000,HARD,18.0,2.0,2.0,91.375,2024,Miami
VER,Red Bull Racing,42.0,0 days 00:01:31.455000,HARD,19.0,2.0,2.0,91.455,2024,Miami
VER,Red Bull Racing,43.0,0 days 00:01:31.435000,HARD,20.0,2.0,2.0,91.435,2024,Miami
VER,Red Bull Racing,44.0,0 days 00:01:31.452000,HARD,21.0,2.0,2.0,91.452,2024,Miami
