Driver,Team,BestLapTime,MaxSpeed,AverageSpeed
HAM,Mercedes,74.165,288.0,158.91197183098592
VER,Red Bull Racing,74.569,273.0,158.76702508960574
ZHO,Kick Sauber,74.718,284.0,158.44525547445255
TSU,RB,74.72,281.0,157.75451263537906
SAI,Ferrari,74.726,287.0,157.78136200716847
LEC,Ferrari,75.162,285.0,158.41970802919707
RUS,Mercedes,75.228,287.0,158.2945205479452
SAR,Williams,75.525,285.0,155.1027397260274
GAS,Alpine,75.625,282.0,155.73021582733813
NOR,McLaren,75.742,286.0,157.85172413793103
PIA,McLaren,76.281,285.0,155.2053872053872
BOT,Kick Sauber,76.561,283.0,154.60207612456747
STR,Aston Martin,76.71,286.0,154.69896193771626
ALB,Williams,77.06,282.0,153.18466898954705
RIC,RB,77.172,282.0,154.19310344827585
ALO,Aston Martin,77.939,284.0,151.7074829931973
