Driver,Team,LapNumber,Compound,TyreLife,Stint,LapTime
LEC,Ferrari,1.0,MEDIUM,1.0,1.0,0 days 00:40:56.330000
LEC,Ferrari,3.0,HARD,2.0,2.0,0 days 00:01:24.624000
LEC,Ferrari,4.0,HARD,3.0,2.0,0 days 00:01:22.625000
LEC,Ferrari,5.0,HARD,4.0,2.0,0 days 00:01:21.795000
LEC,Ferrari,6.0,HARD,5.0,2.0,0 days 00:01:21.145000
LEC,Ferrari,7.0,HARD,6.0,2.0,0 days 00:01:20.980000
LEC,Ferrari,8.0,HARD,7.0,2.0,0 days 00:01:21.030000
LEC,Ferrari,9.0,HARD,8.0,2.0,0 days 00:01:20.114000
LEC,Ferrari,10.0,HARD,9.0,2.0,0 days 00:01:20.775000
LEC,Ferrari,11.0,HARD,10.0,2.0,0 days 00:01:21.046000
LEC,Ferrari,12.0,HARD,11.0,2.0,0 days 00:01:20.252000
LEC,Ferrari,13.0,HARD,12.0,2.0,0 days 00:01:19.017000
LEC,Ferrari,14.0,HARD,13.0,2.0,0 days 00:01:19.913000
LEC,Ferrari,15.0,HARD,14.0,2.0,0 days 00:01:19.838000
LEC,Ferrari,16.0,HARD,15.0,2.0,0 days 00:01:20.156000
LEC,Ferrari,17.0,HARD,16.0,2.0,0 days 00:01:20.279000
LEC,Ferrari,18.0,HARD,17.0,2.0,0 days 00:01:19.580000
LEC,Ferrari,19.0,HARD,18.0,2.0,0 days 00:01:18.842000
LEC,Ferrari,20.0,HARD,19.0,2.0,0 days 00:01:18.724000
LEC,Ferrari,21.0,HARD,20.0,2.0,0 days 00:01:18.472000
LEC,Ferrari,22.0,HARD,21.0,2.0,0 days 00:01:18.620000
LEC,Ferrari,23.0,HARD,22.0,2.0,0 days 00:01:18.458000
LEC,Ferrari,24.0,HARD,23.0,2.0,0 days 00:01:18.725000
LEC,Ferrari,25.0,HARD,24.0,2.0,0 days 00:01:18.973000
LEC,Ferrari,26.0,HARD,25.0,2.0,0 days 00:01:18.445000
LEC,Ferrari,27.0,HARD,26.0,2.0,0 days 00:01:18.351000
LEC,Ferrari,28.0,HARD,27.0,2.0,0 days 00:01:18.710000
LEC,Ferrari,29.0,HARD,28.0,2.0,0 days 00:01:19.053000
LEC,Ferrari,30.0,HARD,29.0,2.0,0 days 00:01:19.935000
LEC,Ferrari,31.0,HARD,30.0,2.0,0 days 00:01:18.393000
LEC,Ferrari,32.0,HARD,31.0,2.0,0 days 00:01:19.125000
LEC,Ferrari,33.0,HARD,32.0,2.0,0 days 00:01:18.494000
LEC,Ferrari,34.0,HARD,33.0,2.0,0 days 00:01:19.319000
LEC,Ferrari,35.0,HARD,34.0,2.0,0 days 00:01:18.530000
LEC,Ferrari,36.0,HARD,35.0,2.0,0 days 00:01:18.689000
LEC,Ferrari,37.0,HARD,36.0,2.0,0 days 00:01:18.925000
LEC,Ferrari,38.0,HARD,37.0,2.0,0 days 00:01:18.528000
LEC,Ferrari,39.0,HARD,38.0,2.0,0 days 00:01:18.181000
LEC,Ferrari,40.0,HARD,39.0,2.0,0 days 00:01:18.733000
LEC,Ferrari,41.0,HARD,40.0,2.0,0 days 00:01:18.694000
LEC,Ferrari,42.0,HARD,41.0,2.0,0 days 00:01:19.277000
LEC,Ferrari,43.0,HARD,42.0,2.0,0 days 00:01:17.865000
LEC,Ferrari,44.0,HARD,43.0,2.0,0 days 00:01:18.276000
LEC,Ferrari,45.0,HARD,44.0,2.0,0 days 00:01:18.541000
LEC,Ferrari,46.0,HARD,45.0,2.0,0 days 00:01:18.567000
LEC,Ferrari,47.0,HARD,46.0,2.0,0 days 00:01:19.185000
LEC,Ferrari,48.0,HARD,47.0,2.0,0 days 00:01:17.941000
LEC,Ferrari,49.0,HARD,48.0,2.0,0 days 00:01:18.506000
