Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
NOR,McLaren,1.0,0 days 00:01:20.878000,MEDIUM,1.0,1.0,2.0,80.878,2024,Netherlands
NOR,McLaren,2.0,0 days 00:01:16.134000,MEDIUM,2.0,1.0,2.0,76.134,2024,Netherlands
NOR,McLaren,3.0,0 days 00:01:16.496000,MEDIUM,3.0,1.0,2.0,76.496,2024,Netherlands
NOR,McLaren,4.0,0 days 00:01:16.304000,MEDIUM,4.0,1.0,2.0,76.304,2024,Netherlands
NOR,McLaren,5.0,0 days 00:01:16.271000,MEDIUM,5.0,1.0,2.0,76.271,2024,Netherlands
NOR,McLaren,6.0,0 days 00:01:16.225000,MEDIUM,6.0,1.0,2.0,76.225,2024,Netherlands
NOR,McLaren,7.0,0 days 00:01:16.395000,MEDIUM,7.0,1.0,2.0,76.395,2024,Netherlands
NOR,McLaren,8.0,0 days 00:01:16.169000,MEDIUM,8.0,1.0,2.0,76.169,2024,Netherlands
NOR,McLaren,9.0,0 days 00:01:16.477000,MEDIUM,9.0,1.0,2.0,76.477,2024,Netherlands
NOR,McLaren,10.0,0 days 00:01:16.292000,MEDIUM,10.0,1.0,2.0,76.292,2024,Netherlands
NOR,McLaren,11.0,0 days 00:01:16.303000,MEDIUM,11.0,1.0,2.0,76.303,2024,Netherlands
NOR,McLaren,12.0,0 days 00:01:16.200000,MEDIUM,12.0,1.0,2.0,76.2,2024,Netherlands
NOR,McLaren,13.0,0 days 00:01:16.242000,MEDIUM,13.0,1.0,2.0,76.242,2024,Netherlands
NOR,McLaren,14.0,0 days 00:01:16.470000,MEDIUM,14.0,1.0,2.0,76.47,2024,Netherlands
NOR,McLaren,15.0,0 days 00:01:16.227000,MEDIUM,15.0,1.0,2.0,76.227,2024,Netherlands
NOR,McLaren,16.0,0 days 00:01:15.689000,MEDIUM,16.0,1.0,2.0,75.689,2024,Netherlands
NOR,McLaren,17.0,0 days 00:01:16.085000,MEDIUM,17.0,1.0,2.0,76.085,2024,Netherlands
NOR,McLaren,18.0,0 days 00:01:16.066000,MEDIUM,18.0,1.0,1.0,76.066,2024,Netherlands
NOR,McLaren,19.0,0 days 00:01:15.899000,MEDIUM,19.0,1.0,1.0,75.899,2024,Netherlands
NOR,McLaren,20.0,0 days 00:01:16.043000,MEDIUM,20.0,1.0,1.0,76.043,2024,Netherlands
NOR,McLaren,21.0,0 days 00:01:15.729000,MEDIUM,21.0,1.0,1.0,75.729,2024,Netherlands
NOR,McLaren,22.0,0 days 00:01:15.796000,MEDIUM,22.0,1.0,1.0,75.796,2024,Netherlands
NOR,McLaren,23.0,0 days 00:01:15.784000,MEDIUM,23.0,1.0,1.0,75.784,2024,Netherlands
NOR,McLaren,24.0,0 days 00:01:15.692000,MEDIUM,24.0,1.0,1.0,75.692,2024,Netherlands
NOR,McLaren,25.0,0 days 00:01:15.709000,MEDIUM,25.0,1.0,1.0,75.709,2024,Netherlands
NOR,McLaren,26.0,0 days 00:01:15.873000,MEDIUM,26.0,1.0,1.0,75.873,2024,Netherlands
NOR,McLaren,27.0,0 days 00:01:15.744000,MEDIUM,27.0,1.0,1.0,75.744,2024,Netherlands
NOR,McLaren,28.0,0 days 00:01:19.241000,MEDIUM,28.0,1.0,1.0,79.241,2024,Netherlands
NOR,McLaren,29.0,0 days 00:01:35.150000,HARD,1.0,2.0,4.0,95.15,2024,Netherlands
NOR,McLaren,30.0,0 days 00:01:14.571000,HARD,2.0,2.0,2.0,74.571,2024,Netherlands
NOR,McLaren,31.0,0 days 00:01:14.391000,HARD,3.0,2.0,2.0,74.391,2024,Netherlands
NOR,McLaren,32.0,0 days 00:01:14.476000,HARD,4.0,2.0,2.0,74.476,2024,Netherlands
NOR,McLaren,33.0,0 days 00:01:14.489000,HARD,5.0,2.0,1.0,74.489,2024,Netherlands
NOR,McLaren,34.0,0 days 00:01:14.491000,HARD,6.0,2.0,1.0,74.491,2024,Netherlands
NOR,McLaren,35.0,0 days 00:01:14.474000,HARD,7.0,2.0,1.0,74.474,2024,Netherlands
NOR,McLaren,36.0,0 days 00:01:14.312000,HARD,8.0,2.0,1.0,74.312,2024,Netherlands
NOR,McLaren,37.0,0 days 00:01:14.724000,HARD,9.0,2.0,1.0,74.724,2024,Netherlands
NOR,McLaren,38.0,0 days 00:01:14.557000,HARD,10.0,2.0,1.0,74.557,2024,Netherlands
NOR,McLaren,39.0,0 days 00:01:14.707000,HARD,11.0,2.0,1.0,74.707,2024,Netherlands
NOR,McLaren,40.0,0 days 00:01:14.639000,HARD,12.0,2.0,1.0,74.639,2024,Netherlands
NOR,McLaren,41.0,0 days 00:01:15.010000,HARD,13.0,2.0,1.0,75.01,2024,Netherlands
NOR,McLaren,42.0,0 days 00:01:15.205000,HARD,14.0,2.0,1.0,75.205,2024,Netherlands
NOR,McLaren,43.0,0 days 00:01:14.791000,HARD,15.0,2.0,1.0,74.791,2024,Netherlands
NOR,McLaren,44.0,0 days 00:01:14.577000,HARD,16.0,2.0,1.0,74.577,2024,Netherlands
NOR,McLaren,45.0,0 days 00:01:14.831000,HARD,17.0,2.0,1.0,74.831,2024,Netherlands
