Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
NOR,McLaren,1.0,0 days 00:01:40.424000,MEDIUM,1.0,1.0,1.0,100.424,2024,Singapore
NOR,McLaren,2.0,0 days 00:01:38.480000,MEDIUM,2.0,1.0,1.0,98.48,2024,Singapore
NOR,McLaren,3.0,0 days 00:01:38.406000,MEDIUM,3.0,1.0,1.0,98.406,2024,Singapore
NOR,McLaren,4.0,0 days 00:01:38.446000,MEDIUM,4.0,1.0,1.0,98.446,2024,Singapore
NOR,McLaren,5.0,0 days 00:01:37.938000,MEDIUM,5.0,1.0,1.0,97.938,2024,Singapore
NOR,McLaren,6.0,0 days 00:01:37.843000,MEDIUM,6.0,1.0,1.0,97.843,2024,Singapore
NOR,McLaren,7.0,0 days 00:01:37.621000,MEDIUM,7.0,1.0,1.0,97.621,2024,Singapore
NOR,McLaren,8.0,0 days 00:01:37.082000,MEDIUM,8.0,1.0,1.0,97.082,2024,Singapore
NOR,McLaren,9.0,0 days 00:01:36.715000,MEDIUM,9.0,1.0,1.0,96.715,2024,Singapore
NOR,McLaren,10.0,0 days 00:01:36.830000,MEDIUM,10.0,1.0,1.0,96.83,2024,Singapore
NOR,McLaren,11.0,0 days 00:01:36.651000,MEDIUM,11.0,1.0,1.0,96.651,2024,Singapore
NOR,McLaren,12.0,0 days 00:01:36.495000,MEDIUM,12.0,1.0,1.0,96.495,2024,Singapore
NOR,McLaren,13.0,0 days 00:01:36.670000,MEDIUM,13.0,1.0,1.0,96.67,2024,Singapore
NOR,McLaren,14.0,0 days 00:01:36.832000,MEDIUM,14.0,1.0,1.0,96.832,2024,Singapore
NOR,McLaren,15.0,0 days 00:01:36.758000,MEDIUM,15.0,1.0,1.0,96.758,2024,Singapore
NOR,McLaren,16.0,0 days 00:01:36.624000,MEDIUM,16.0,1.0,1.0,96.624,2024,Singapore
NOR,McLaren,17.0,0 days 00:01:37.008000,MEDIUM,17.0,1.0,1.0,97.008,2024,Singapore
NOR,McLaren,18.0,0 days 00:01:37.068000,MEDIUM,18.0,1.0,1.0,97.068,2024,Singapore
NOR,McLaren,19.0,0 days 00:01:37.282000,MEDIUM,19.0,1.0,1.0,97.282,2024,Singapore
NOR,McLaren,20.0,0 days 00:01:36.887000,MEDIUM,20.0,1.0,1.0,96.887,2024,Singapore
NOR,McLaren,21.0,0 days 00:01:37.198000,MEDIUM,21.0,1.0,1.0,97.198,2024,Singapore
NOR,McLaren,22.0,0 days 00:01:37.115000,MEDIUM,22.0,1.0,1.0,97.115,2024,Singapore
NOR,McLaren,23.0,0 days 00:01:37.212000,MEDIUM,23.0,1.0,1.0,97.212,2024,Singapore
NOR,McLaren,24.0,0 days 00:01:37.527000,MEDIUM,24.0,1.0,1.0,97.527,2024,Singapore
NOR,McLaren,25.0,0 days 00:01:37.404000,MEDIUM,25.0,1.0,1.0,97.404,2024,Singapore
NOR,McLaren,26.0,0 days 00:01:37.260000,MEDIUM,26.0,1.0,1.0,97.26,2024,Singapore
NOR,McLaren,27.0,0 days 00:01:37.603000,MEDIUM,27.0,1.0,1.0,97.603,2024,Singapore
NOR,McLaren,28.0,0 days 00:01:37.528000,MEDIUM,28.0,1.0,1.0,97.528,2024,Singapore
NOR,McLaren,29.0,0 days 00:01:41.878000,MEDIUM,29.0,1.0,1.0,101.878,2024,Singapore
NOR,McLaren,30.0,0 days 00:01:47.073000,MEDIUM,30.0,1.0,1.0,107.073,2024,Singapore
NOR,McLaren,31.0,0 days 00:01:58.408000,HARD,1.0,2.0,1.0,118.408,2024,Singapore
NOR,McLaren,32.0,0 days 00:01:37.034000,HARD,2.0,2.0,1.0,97.034,2024,Singapore
NOR,McLaren,33.0,0 days 00:01:36.684000,HARD,3.0,2.0,1.0,96.684,2024,Singapore
NOR,McLaren,34.0,0 days 00:01:36.714000,HARD,4.0,2.0,1.0,96.714,2024,Singapore
NOR,McLaren,35.0,0 days 00:01:36.524000,HARD,5.0,2.0,1.0,96.524,2024,Singapore
NOR,McLaren,36.0,0 days 00:01:36.216000,HARD,6.0,2.0,1.0,96.216,2024,Singapore
NOR,McLaren,37.0,0 days 00:01:36.435000,HARD,7.0,2.0,1.0,96.435,2024,Singapore
