Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:41.657000,MEDIUM,1.0,1.0,2.0,101.657,2024,United States
VER,Red Bull Racing,2.0,0 days 00:01:39.991000,MEDIUM,2.0,1.0,2.0,99.991,2024,United States
VER,Red Bull Racing,3.0,0 days 00:02:02.849000,MEDIUM,3.0,1.0,2.0,122.849,2024,United States
VER,Red Bull Racing,6.0,0 days 00:01:39.779000,MEDIUM,6.0,1.0,2.0,99.779,2024,United States
VER,Red Bull Racing,7.0,0 days 00:01:39.731000,MEDIUM,7.0,1.0,2.0,99.731,2024,United States
VER,Red Bull Racing,8.0,0 days 00:01:40.082000,MEDIUM,8.0,1.0,2.0,100.082,2024,United States
VER,Red Bull Racing,9.0,0 days 00:01:40.032000,MEDIUM,9.0,1.0,2.0,100.032,2024,United States
VER,Red Bull Racing,10.0,0 days 00:01:39.970000,MEDIUM,10.0,1.0,2.0,99.97,2024,United States
VER,Red Bull Racing,11.0,0 days 00:01:40.246000,MEDIUM,11.0,1.0,2.0,100.246,2024,United States
VER,Red Bull Racing,12.0,0 days 00:01:40.182000,MEDIUM,12.0,1.0,2.0,100.182,2024,United States
VER,Red Bull Racing,13.0,0 days 00:01:39.936000,MEDIUM,13.0,1.0,2.0,99.936,2024,United States
VER,Red Bull Racing,14.0,0 days 00:01:39.846000,MEDIUM,14.0,1.0,2.0,99.846,2024,United States
VER,Red Bull Racing,15.0,0 days 00:01:40.192000,MEDIUM,15.0,1.0,2.0,100.192,2024,United States
VER,Red Bull Racing,16.0,0 days 00:01:40.033000,MEDIUM,16.0,1.0,2.0,100.033,2024,United States
VER,Red Bull Racing,17.0,0 days 00:01:40.160000,MEDIUM,17.0,1.0,2.0,100.16,2024,United States
VER,Red Bull Racing,18.0,0 days 00:01:39.921000,MEDIUM,18.0,1.0,2.0,99.921,2024,United States
VER,Red Bull Racing,19.0,0 days 00:01:39.981000,MEDIUM,19.0,1.0,2.0,99.981,2024,United States
VER,Red Bull Racing,20.0,0 days 00:01:39.986000,MEDIUM,20.0,1.0,2.0,99.986,2024,United States
VER,Red Bull Racing,21.0,0 days 00:01:39.803000,MEDIUM,21.0,1.0,2.0,99.803,2024,United States
VER,Red Bull Racing,22.0,0 days 00:01:40.099000,MEDIUM,22.0,1.0,2.0,100.099,2024,United States
VER,Red Bull Racing,23.0,0 days 00:01:40.420000,MEDIUM,23.0,1.0,2.0,100.42,2024,United States
VER,Red Bull Racing,24.0,0 days 00:01:40.318000,MEDIUM,24.0,1.0,2.0,100.318,2024,United States
VER,Red Bull Racing,25.0,0 days 00:01:40.718000,MEDIUM,25.0,1.0,2.0,100.718,2024,United States
VER,Red Bull Racing,26.0,0 days 00:01:59.619000,HARD,1.0,2.0,5.0,119.619,2024,United States
VER,Red Bull Racing,27.0,0 days 00:01:39.046000,HARD,2.0,2.0,5.0,99.046,2024,United States
VER,Red Bull Racing,28.0,0 days 00:01:38.784000,HARD,3.0,2.0,5.0,98.784,2024,United States
VER,Red Bull Racing,29.0,0 days 00:01:39.067000,HARD,4.0,2.0,5.0,99.067,2024,United States
VER,Red Bull Racing,30.0,0 days 00:01:38.750000,HARD,5.0,2.0,5.0,98.75,2024,United States
VER,Red Bull Racing,31.0,0 days 00:01:39.058000,HARD,6.0,2.0,5.0,99.058,2024,United States
VER,Red Bull Racing,32.0,0 days 00:01:39.106000,HARD,7.0,2.0,4.0,99.106,2024,United States
VER,Red Bull Racing,33.0,0 days 00:01:38.827000,HARD,8.0,2.0,3.0,98.827,2024,United States
VER,Red Bull Racing,34.0,0 days 00:01:39.063000,HARD,9.0,2.0,3.0,99.063,2024,United States
VER,Red Bull Racing,35.0,0 days 00:01:39.004000,HARD,10.0,2.0,3.0,99.004,2024,United States
VER,Red Bull Racing,36.0,0 days 00:01:38.715000,HARD,11.0,2.0,3.0,98.715,2024,United States
VER,Red Bull Racing,37.0,0 days 00:01:38.963000,HARD,12.0,2.0,3.0,98.963,2024,United States
VER,Red Bull Racing,38.0,0 days 00:01:38.641000,HARD,13.0,2.0,3.0,98.641,2024,United States
VER,Red Bull Racing,39.0,0 days 00:01:38.358000,HARD,14.0,2.0,3.0,98.358,2024,United States
VER,Red Bull Racing,40.0,0 days 00:01:38.624000,HARD,15.0,2.0,3.0,98.624,2024,United States
VER,Red Bull Racing,41.0,0 days 00:01:38.463000,HARD,16.0,2.0,3.0,98.463,2024,United States
VER,Red Bull Racing,42.0,0 days 00:01:38.117000,HARD,17.0,2.0,3.0,98.117,2024,United States
VER,Red Bull Racing,43.0,0 days 00:01:38.526000,HARD,18.0,2.0,3.0,98.526,2024,United States
VER,Red Bull Racing,44.0,0 days 00:01:38.453000,HARD,19.0,2.0,3.0,98.453,2024,United States
VER,Red Bull Racing,45.0,0 days 00:01:38.269000,HARD,20.0,2.0,3.0,98.269,2024,United States
VER,Red Bull Racing,46.0,0 days 00:01:38.255000,HARD,21.0,2.0,3.0,98.255,2024,United States
VER,Red Bull Racing,47.0,0 days 00:01:39.191000,HARD,22.0,2.0,3.0,99.191,2024,United States
VER,Red Bull Racing,48.0,0 days 00:01:38.572000,HARD,23.0,2.0,3.0,98.572,2024,United States
VER,Red Bull Racing,49.0,0 days 00:01:38.598000,HARD,24.0,2.0,3.0,98.598,2024,United States
VER,Red Bull Racing,50.0,0 days 00:01:38.692000,HARD,25.0,2.0,3.0,98.692,2024,United States
VER,Red Bull Racing,51.0,0 days 00:01:39.105000,HARD,26.0,2.0,3.0,99.105,2024,United States
VER,Red Bull Racing,52.0,0 days 00:01:40.819000,HARD,27.0,2.0,4.0,100.819,2024,United States
VER,Red Bull Racing,53.0,0 days 00:01:39.384000,HARD,28.0,2.0,4.0,99.384,2024,United States
VER,Red Bull Racing,54.0,0 days 00:01:38.661000,HARD,29.0,2.0,4.0,98.661,2024,United States
VER,Red Bull Racing,55.0,0 days 00:01:38.252000,HARD,30.0,2.0,4.0,98.252,2024,United States
VER,Red Bull Racing,56.0,0 days 00:01:39.018000,HARD,31.0,2.0,4.0,99.018,2024,United States
GAS,Alpine,1.0,0 days 00:01:44.426000,MEDIUM,1.0,1.0,6.0,104.426,2024,United States
GAS,Alpine,2.0,0 days 00:01:42.067000,MEDIUM,2.0,1.0,6.0,102.067,2024,United States
GAS,Alpine,3.0,0 days 00:02:08.872000,MEDIUM,3.0,1.0,6.0,128.872,2024,United States
GAS,Alpine,4.0,0 days 00:02:29.840000,MEDIUM,4.0,1.0,6.0,149.84,2024,United States
GAS,Alpine,6.0,0 days 00:01:42.096000,MEDIUM,6.0,1.0,6.0,102.096,2024,United States
GAS,Alpine,7.0,0 days 00:01:41.487000,MEDIUM,7.0,1.0,6.0,101.487,2024,United States
GAS,Alpine,8.0,0 days 00:01:41.037000,MEDIUM,8.0,1.0,6.0,101.037,2024,United States
GAS,Alpine,9.0,0 days 00:01:40.712000,MEDIUM,9.0,1.0,6.0,100.712,2024,United States
GAS,Alpine,10.0,0 days 00:01:40.571000,MEDIUM,10.0,1.0,6.0,100.571,2024,United States
GAS,Alpine,11.0,0 days 00:01:41.291000,MEDIUM,11.0,1.0,6.0,101.291,2024,United States
GAS,Alpine,12.0,0 days 00:01:41.086000,MEDIUM,12.0,1.0,6.0,101.086,2024,United States
GAS,Alpine,13.0,0 days 00:01:41.046000,MEDIUM,13.0,1.0,6.0,101.046,2024,United States
GAS,Alpine,14.0,0 days 00:01:41.551000,MEDIUM,14.0,1.0,6.0,101.551,2024,United States
GAS,Alpine,15.0,0 days 00:01:41.499000,MEDIUM,15.0,1.0,6.0,101.499,2024,United States
GAS,Alpine,16.0,0 days 00:01:41.306000,MEDIUM,16.0,1.0,6.0,101.306,2024,United States
GAS,Alpine,17.0,0 days 00:01:42.142000,MEDIUM,17.0,1.0,6.0,102.142,2024,United States
GAS,Alpine,18.0,0 days 00:01:41.038000,MEDIUM,18.0,1.0,6.0,101.038,2024,United States
GAS,Alpine,19.0,0 days 00:02:05.822000,HARD,1.0,2.0,16.0,125.822,2024,United States
GAS,Alpine,20.0,0 days 00:01:41.596000,HARD,2.0,2.0,16.0,101.596,2024,United States
GAS,Alpine,21.0,0 days 00:01:41.132000,HARD,3.0,2.0,16.0,101.132,2024,United States
GAS,Alpine,22.0,0 days 00:01:41.033000,HARD,4.0,2.0,16.0,101.033,2024,United States
GAS,Alpine,23.0,0 days 00:01:41.083000,HARD,5.0,2.0,16.0,101.083,2024,United States
GAS,Alpine,24.0,0 days 00:01:40.915000,HARD,6.0,2.0,16.0,100.915,2024,United States
GAS,Alpine,25.0,0 days 00:01:40.986000,HARD,7.0,2.0,16.0,100.986,2024,United States
GAS,Alpine,26.0,0 days 00:01:41.954000,HARD,8.0,2.0,16.0,101.954,2024,United States
GAS,Alpine,27.0,0 days 00:01:42.407000,HARD,9.0,2.0,14.0,102.407,2024,United States
GAS,Alpine,28.0,0 days 00:01:40.730000,HARD,10.0,2.0,13.0,100.73,2024,United States
GAS,Alpine,29.0,0 days 00:01:40.435000,HARD,11.0,2.0,13.0,100.435,2024,United States
GAS,Alpine,30.0,0 days 00:01:40.672000,HARD,12.0,2.0,13.0,100.672,2024,United States
GAS,Alpine,31.0,0 days 00:01:40.791000,HARD,13.0,2.0,13.0,100.791,2024,United States
GAS,Alpine,32.0,0 days 00:01:40.493000,HARD,14.0,2.0,12.0,100.493,2024,United States
GAS,Alpine,33.0,0 days 00:01:40.244000,HARD,15.0,2.0,12.0,100.244,2024,United States
GAS,Alpine,34.0,0 days 00:01:39.905000,HARD,16.0,2.0,12.0,99.905,2024,United States
GAS,Alpine,35.0,0 days 00:01:39.866000,HARD,17.0,2.0,12.0,99.866,2024,United States
GAS,Alpine,36.0,0 days 00:01:40.630000,HARD,18.0,2.0,12.0,100.63,2024,United States
GAS,Alpine,37.0,0 days 00:01:40.698000,HARD,19.0,2.0,11.0,100.698,2024,United States
GAS,Alpine,38.0,0 days 00:01:40.845000,HARD,20.0,2.0,12.0,100.845,2024,United States
GAS,Alpine,39.0,0 days 00:01:39.981000,HARD,21.0,2.0,11.0,99.981,2024,United States
GAS,Alpine,40.0,0 days 00:01:39.899000,HARD,22.0,2.0,10.0,99.899,2024,United States
GAS,Alpine,41.0,0 days 00:01:40.583000,HARD,23.0,2.0,10.0,100.583,2024,United States
GAS,Alpine,42.0,0 days 00:01:39.141000,HARD,24.0,2.0,10.0,99.141,2024,United States
GAS,Alpine,43.0,0 days 00:01:39.276000,HARD,25.0,2.0,10.0,99.276,2024,United States
GAS,Alpine,44.0,0 days 00:01:39.550000,HARD,26.0,2.0,10.0,99.55,2024,United States
GAS,Alpine,45.0,0 days 00:01:40.665000,HARD,27.0,2.0,11.0,100.665,2024,United States
GAS,Alpine,46.0,0 days 00:01:39.364000,HARD,28.0,2.0,11.0,99.364,2024,United States
GAS,Alpine,47.0,0 days 00:01:40.973000,HARD,29.0,2.0,12.0,100.973,2024,United States
GAS,Alpine,48.0,0 days 00:01:39.561000,HARD,30.0,2.0,12.0,99.561,2024,United States
GAS,Alpine,49.0,0 days 00:01:39.300000,HARD,31.0,2.0,12.0,99.3,2024,United States
GAS,Alpine,50.0,0 days 00:01:39.174000,HARD,32.0,2.0,12.0,99.174,2024,United States
GAS,Alpine,51.0,0 days 00:01:39.384000,HARD,33.0,2.0,12.0,99.384,2024,United States
GAS,Alpine,52.0,0 days 00:01:38.900000,HARD,34.0,2.0,12.0,98.9,2024,United States
GAS,Alpine,53.0,0 days 00:01:39.127000,HARD,35.0,2.0,12.0,99.127,2024,United States
GAS,Alpine,54.0,0 days 00:01:38.728000,HARD,36.0,2.0,12.0,98.728,2024,United States
GAS,Alpine,55.0,0 days 00:01:38.311000,HARD,37.0,2.0,12.0,98.311,2024,United States
GAS,Alpine,56.0,0 days 00:01:38.769000,HARD,38.0,2.0,12.0,98.769,2024,United States
PER,Red Bull Racing,1.0,0 days 00:01:46.074000,MEDIUM,1.0,1.0,9.0,106.074,2024,United States
PER,Red Bull Racing,2.0,0 days 00:01:42.416000,MEDIUM,2.0,1.0,9.0,102.416,2024,United States
PER,Red Bull Racing,3.0,0 days 00:02:12.043000,MEDIUM,3.0,1.0,9.0,132.043,2024,United States
PER,Red Bull Racing,6.0,0 days 00:01:42.576000,MEDIUM,6.0,1.0,9.0,102.576,2024,United States
PER,Red Bull Racing,7.0,0 days 00:01:41.703000,MEDIUM,7.0,1.0,9.0,101.703,2024,United States
PER,Red Bull Racing,8.0,0 days 00:01:41.129000,MEDIUM,8.0,1.0,9.0,101.129,2024,United States
PER,Red Bull Racing,9.0,0 days 00:01:41.402000,MEDIUM,9.0,1.0,9.0,101.402,2024,United States
PER,Red Bull Racing,10.0,0 days 00:01:41.136000,MEDIUM,10.0,1.0,9.0,101.136,2024,United States
PER,Red Bull Racing,11.0,0 days 00:01:41.525000,MEDIUM,11.0,1.0,9.0,101.525,2024,United States
PER,Red Bull Racing,12.0,0 days 00:01:41.491000,MEDIUM,12.0,1.0,9.0,101.491,2024,United States
PER,Red Bull Racing,13.0,0 days 00:01:41.219000,MEDIUM,13.0,1.0,9.0,101.219,2024,United States
PER,Red Bull Racing,14.0,0 days 00:01:41.431000,MEDIUM,14.0,1.0,9.0,101.431,2024,United States
PER,Red Bull Racing,15.0,0 days 00:01:41.611000,MEDIUM,15.0,1.0,9.0,101.611,2024,United States
PER,Red Bull Racing,16.0,0 days 00:01:41.468000,MEDIUM,16.0,1.0,9.0,101.468,2024,United States
PER,Red Bull Racing,17.0,0 days 00:01:41.480000,MEDIUM,17.0,1.0,8.0,101.48,2024,United States
PER,Red Bull Racing,18.0,0 days 00:01:40.538000,MEDIUM,18.0,1.0,7.0,100.538,2024,United States
PER,Red Bull Racing,19.0,0 days 00:01:40.258000,MEDIUM,19.0,1.0,6.0,100.258,2024,United States
PER,Red Bull Racing,20.0,0 days 00:01:40.252000,MEDIUM,20.0,1.0,6.0,100.252,2024,United States
PER,Red Bull Racing,21.0,0 days 00:01:40.570000,MEDIUM,21.0,1.0,6.0,100.57,2024,United States
PER,Red Bull Racing,22.0,0 days 00:01:41.456000,MEDIUM,22.0,1.0,6.0,101.456,2024,United States
PER,Red Bull Racing,23.0,0 days 00:01:40.681000,MEDIUM,23.0,1.0,6.0,100.681,2024,United States
PER,Red Bull Racing,24.0,0 days 00:01:40.564000,MEDIUM,24.0,1.0,6.0,100.564,2024,United States
