Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds
LEC,Ferrari,1.0,0 days 00:40:56.330000,MEDIUM,1.0,1.0,1.0,2456.33
LEC,Ferrari,3.0,0 days 00:01:24.624000,HARD,2.0,2.0,1.0,84.624
LEC,Ferrari,4.0,0 days 00:01:22.625000,HARD,3.0,2.0,1.0,82.625
LEC,Ferrari,5.0,0 days 00:01:21.795000,HARD,4.0,2.0,1.0,81.795
LEC,Ferrari,6.0,0 days 00:01:21.145000,HARD,5.0,2.0,1.0,81.145
LEC,Ferrari,7.0,0 days 00:01:20.980000,HARD,6.0,2.0,1.0,80.98
LEC,Ferrari,8.0,0 days 00:01:21.030000,HARD,7.0,2.0,1.0,81.03
LEC,Ferrari,9.0,0 days 00:01:20.114000,HARD,8.0,2.0,1.0,80.114
LEC,Ferrari,10.0,0 days 00:01:20.775000,HARD,9.0,2.0,1.0,80.775
LEC,Ferrari,11.0,0 days 00:01:21.046000,HARD,10.0,2.0,1.0,81.046
LEC,Ferrari,12.0,0 days 00:01:20.252000,HARD,11.0,2.0,1.0,80.252
LEC,Ferrari,13.0,0 days 00:01:19.017000,HARD,12.0,2.0,1.0,79.017
LEC,Ferrari,14.0,0 days 00:01:19.913000,HARD,13.0,2.0,1.0,79.913
LEC,Ferrari,15.0,0 days 00:01:19.838000,HARD,14.0,2.0,1.0,79.838
LEC,Ferrari,16.0,0 days 00:01:20.156000,HARD,15.0,2.0,1.0,80.156
LEC,Ferrari,17.0,0 days 00:01:20.279000,HARD,16.0,2.0,1.0,80.279
LEC,Ferrari,18.0,0 days 00:01:19.580000,HARD,17.0,2.0,1.0,79.58
LEC,Ferrari,19.0,0 days 00:01:18.842000,HARD,18.0,2.0,1.0,78.842
LEC,Ferrari,20.0,0 days 00:01:18.724000,HARD,19.0,2.0,1.0,78.724
LEC,Ferrari,21.0,0 days 00:01:18.472000,HARD,20.0,2.0,1.0,78.472
LEC,Ferrari,22.0,0 days 00:01:18.620000,HARD,21.0,2.0,1.0,78.62
LEC,Ferrari,23.0,0 days 00:01:18.458000,HARD,22.0,2.0,1.0,78.458
LEC,Ferrari,24.0,0 days 00:01:18.725000,HARD,23.0,2.0,1.0,78.725
LEC,Ferrari,25.0,0 days 00:01:18.973000,HARD,24.0,2.0,1.0,78.973
LEC,Ferrari,26.0,0 days 00:01:18.445000,HARD,25.0,2.0,1.0,78.445
LEC,Ferrari,27.0,0 days 00:01:18.351000,HARD,26.0,2.0,1.0,78.351
LEC,Ferrari,28.0,0 days 00:01:18.710000,HARD,27.0,2.0,1.0,78.71
LEC,Ferrari,29.0,0 days 00:01:19.053000,HARD,28.0,2.0,1.0,79.053
LEC,Ferrari,30.0,0 days 00:01:19.935000,HARD,29.0,2.0,1.0,79.935
LEC,Ferrari,31.0,0 days 00:01:18.393000,HARD,30.0,2.0,1.0,78.393
LEC,Ferrari,32.0,0 days 00:01:19.125000,HARD,31.0,2.0,1.0,79.125
LEC,Ferrari,33.0,0 days 00:01:18.494000,HARD,32.0,2.0,1.0,78.494
LEC,Ferrari,34.0,0 days 00:01:19.319000,HARD,33.0,2.0,1.0,79.319
LEC,Ferrari,35.0,0 days 00:01:18.530000,HARD,34.0,2.0,1.0,78.53
LEC,Ferrari,36.0,0 days 00:01:18.689000,HARD,35.0,2.0,1.0,78.689
LEC,Ferrari,37.0,0 days 00:01:18.925000,HARD,36.0,2.0,1.0,78.925
LEC,Ferrari,38.0,0 days 00:01:18.528000,HARD,37.0,2.0,1.0,78.528
LEC,Ferrari,39.0,0 days 00:01:18.181000,HARD,38.0,2.0,1.0,78.181
LEC,Ferrari,40.0,0 days 00:01:18.733000,HARD,39.0,2.0,1.0,78.733
LEC,Ferrari,41.0,0 days 00:01:18.694000,HARD,40.0,2.0,1.0,78.694
LEC,Ferrari,42.0,0 days 00:01:19.277000,HARD,41.0,2.0,1.0,79.277
LEC,Ferrari,43.0,0 days 00:01:17.865000,HARD,42.0,2.0,1.0,77.865
LEC,Ferrari,44.0,0 days 00:01:18.276000,HARD,43.0,2.0,1.0,78.276
LEC,Ferrari,45.0,0 days 00:01:18.541000,HARD,44.0,2.0,1.0,78.541
LEC,Ferrari,46.0,0 days 00:01:18.567000,HARD,45.0,2.0,1.0,78.567
LEC,Ferrari,47.0,0 days 00:01:19.185000,HARD,46.0,2.0,1.0,79.185
LEC,Ferrari,48.0,0 days 00:01:17.941000,HARD,47.0,2.0,1.0,77.941
LEC,Ferrari,49.0,0 days 00:01:18.506000,HARD,48.0,2.0,1.0,78.506
LEC,Ferrari,50.0,0 days 00:01:18.185000,HARD,49.0,2.0,1.0,78.185
LEC,Ferrari,51.0,0 days 00:01:17.790000,HARD,50.0,2.0,1.0,77.79
