Distance,Speed,Driver
19.133333333333333,280.0,LEC
47.43333333333334,283.0,LEC
69.67777777777778,286.0,LEC
91.92222222222222,286.0,LEC
109.92222222222222,270.0,LEC
135.46666666666667,209.0,LEC
147.86666666666665,186.0,LEC
160.0,156.0,LEC
167.7222222222222,139.0,LEC
175.16666666666666,134.0,LEC
180.72222222222223,125.0,LEC
187.38888888888889,120.0,LEC
195.1888888888889,117.0,LEC
204.36666666666667,118.0,LEC
213.7777777777778,121.0,LEC
221.00000000000003,130.0,LEC
227.0,135.0,LEC
237.06666666666666,151.0,LEC
246.01111111111112,161.0,LEC
255.45555555555558,170.0,LEC
273.25555555555553,178.0,LEC
297.7,200.0,LEC
306.76666666666665,204.0,LEC
320.9,212.0,LEC
330.45555555555546,215.0,LEC
350.3666666666666,224.0,LEC
365.6333333333333,229.0,LEC
383.83333333333337,234.0,LEC
402.4222222222222,239.0,LEC
435.22222222222223,246.0,LEC
454.7361111111111,250.0,LEC
465.86611111111114,252.0,LEC
491.56611111111107,257.0,LEC
503.03277777777777,258.0,LEC
517.4216666666666,259.0,LEC
546.755,264.0,LEC
576.3105555555555,266.0,LEC
588.2661111111111,269.0,LEC
612.2661111111111,270.0,LEC
624.2661111111111,270.0,LEC
636.3549999999999,272.0,LEC
655.9549999999998,252.0,LEC
666.8438888888887,245.0,LEC
686.4883333333332,221.0,LEC
698.2105555555554,211.0,LEC
715.8994444444443,199.0,LEC
726.677222222222,194.0,LEC
740.7549999999998,181.0,LEC
748.7105555555553,179.0,LEC
765.8105555555553,171.0,LEC
779.2661111111108,173.0,LEC
786.9994444444442,174.0,LEC
802.7327777777775,177.0,LEC
816.9661111111109,183.0,LEC
829.2994444444442,185.0,LEC
839.1883333333332,178.0,LEC
846.8327777777777,172.0,LEC
855.933611111111,163.0,LEC
864.9891666666666,163.0,LEC
878.103611111111,148.0,LEC
889.7702777777778,150.0,LEC
901.6702777777778,153.0,LEC
914.1147222222222,160.0,LEC
921.4925,166.0,LEC
935.1813888888887,176.0,LEC
954.3813888888886,192.0,LEC
963.0924999999997,196.0,LEC
974.4258333333332,204.0,LEC
988.5591666666664,212.0,LEC
1000.7258333333331,219.0,LEC
1010.5924999999997,222.0,LEC
1023.2036111111108,227.0,LEC
1040.9813888888887,200.0,LEC
1048.803611111111,176.0,LEC
1063.6924999999999,134.0,LEC
1075.6924999999999,108.0,LEC
1080.1813888888887,101.0,LEC
1084.4480555555554,96.0,LEC
1091.0591666666664,85.0,LEC
1094.6591666666664,81.0,LEC
1099.1036111111107,80.0,LEC
1105.1702777777773,78.0,LEC
1110.236944444444,76.0,LEC
1115.5702777777772,80.0,LEC
1122.439166666666,88.0,LEC
1127.4947222222215,91.0,LEC
1135.7872222222215,107.0,LEC
1155.431666666666,136.0,LEC
1169.1205555555548,154.0,LEC
1179.053888888888,149.0,LEC
1185.3205555555546,141.0,LEC
1196.8761111111103,104.0,LEC
1200.9205555555548,91.0,LEC
1206.9094444444436,77.0,LEC
1210.9094444444436,72.0,LEC
1214.5761111111103,66.0,LEC
1217.9649999999992,61.0,LEC
1221.0761111111103,56.0,LEC
1224.6094444444436,53.0,LEC
1227.4427777777769,51.0,LEC
1230.7094444444435,49.0,LEC
1232.753888888888,46.0,LEC
1236.0872222222213,50.0,LEC
1242.3094444444434,56.0,LEC
1245.6427777777767,60.0,LEC
1250.0427777777768,66.0,LEC
1254.9094444444434,73.0,LEC
1258.5538888888877,82.0,LEC
1262.4205555555543,87.0,LEC
1269.2205555555543,102.0,LEC
1275.1094444444432,106.0,LEC
1279.5538888888875,100.0,LEC
1288.779444444443,92.0,LEC
1292.5572222222208,85.0,LEC
1296.2672222222209,84.0,LEC
1306.4116666666653,83.0,LEC
1310.1005555555541,83.0,LEC
1314.7672222222209,84.0,LEC
1318.7672222222209,90.0,LEC
1329.2672222222209,105.0,LEC
1337.0005555555542,116.0,LEC
1348.467222222221,129.0,LEC
1356.467222222221,120.0,LEC
1362.578333333332,110.0,LEC
1368.189444444443,101.0,LEC
1373.6338888888874,98.0,LEC
1381.989444444443,94.0,LEC
1388.0561111111097,91.0,LEC
1395.0561111111097,90.0,LEC
1406.6672222222207,95.0,LEC
1416.4449999999986,110.0,LEC
1422.778333333332,114.0,LEC
1431.5783333333322,132.0,LEC
1439.578333333332,144.0,LEC
1451.6338888888877,155.0,LEC
1458.5227777777768,155.0,LEC
1470.1894444444433,175.0,LEC
1480.633888888888,188.0,LEC
1500.5891666666655,199.0,LEC
1514.522499999999,209.0,LEC
1533.8397222222213,218.0,LEC
1546.2841666666654,224.0,LEC
1569.5841666666654,233.0,LEC
1585.4508333333322,238.0,LEC
1601.5841666666656,242.0,LEC
1618.0508333333323,247.0,LEC
1637.650833333332,252.0,LEC
1648.9397222222212,254.0,LEC
1660.3174999999987,256.0,LEC
1677.6508333333322,260.0,LEC
1698.106388888888,263.0,LEC
1721.6619444444436,265.0,LEC
1733.52861111111,267.0,LEC
1757.52861111111,270.0,LEC
1778.7619444444433,273.0,LEC
1797.0952777777768,275.0,LEC
1812.539722222221,278.0,LEC
1837.4286111111098,280.0,LEC
1859.2841666666654,281.0,LEC
1878.2841666666657,285.0,LEC
1897.3508333333325,286.0,LEC
1919.595277777777,286.0,LEC
1932.3952777777768,288.0,LEC
1966.572777777777,279.0,LEC
1992.9727777777769,216.0,LEC
2008.5683333333325,176.0,LEC
2021.8683333333324,133.0,LEC
2029.8683333333322,120.0,LEC
2038.1127777777767,106.0,LEC
2050.112777777777,90.0,LEC
2053.890555555555,85.0,LEC
2058.390555555555,81.0,LEC
2063.5905555555546,78.0,LEC
2067.5905555555546,72.0,LEC
2073.812777777777,70.0,LEC
2078.74611111111,74.0,LEC
2083.134999999999,79.0,LEC
2091.134999999999,90.0,LEC
2095.134999999999,90.0,LEC
2108.134999999999,117.0,LEC
2123.6905555555545,140.0,LEC
2130.4016666666657,151.0,LEC
2137.5572222222213,161.0,LEC
2152.6683333333326,170.0,LEC
2171.3683333333324,187.0,LEC
2180.0349999999994,195.0,LEC
2193.234999999999,198.0,LEC
2209.704722222222,211.0,LEC
